city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Salyan,2020-01-01,12.6,1.6,6.1,0.0,0.0,0.0,10.0,23.4,85,1014.2,24,8.49,10.2,2
Salyan,2020-01-02,11.8,1.3,6.4,0.0,0.0,0.0,15.7,29.5,83,1019.5,23,8.55,9.0,3
Salyan,2020-01-03,6.8,5.2,5.9,1.6,1.6,0.0,16.3,32.8,81,1026.4,94,1.6,3.4,51
Salyan,2020-01-04,7.8,5.1,6.0,11.6,11.6,0.0,15.8,31.3,94,1020.3,100,1.24,5.4,61
Salyan,2020-01-05,8.6,3.7,5.7,10.8,10.8,0.0,15.9,31.3,92,1014.9,85,3.19,6.5,61
Salyan,2020-01-06,11.0,2.7,5.8,0.0,0.0,0.0,9.8,16.2,87,1021.9,45,7.87,8.9,3
Salyan,2020-01-07,9.8,1.6,4.7,0.0,0.0,0.0,10.1,19.8,91,1022.3,60,6.82,7.8,3
Salyan,2020-01-08,11.1,-2.0,4.7,0.0,0.0,0.0,13.2,25.6,88,1017.3,66,8.51,9.1,3
Salyan,2020-01-09,9.0,3.4,6.4,4.8,4.8,0.0,14.3,29.2,88,1017.0,95,5.14,5.8,55
Salyan,2020-01-10,9.1,1.6,4.8,0.0,0.0,0.0,12.6,27.0,88,1020.5,92,5.87,6.8,3
Salyan,2020-01-11,9.4,3.8,5.9,0.0,0.0,0.0,9.6,20.2,80,1023.4,69,7.44,6.8,3
Salyan,2020-01-12,9.9,0.6,4.6,0.0,0.0,0.0,13.6,31.0,82,1019.3,74,8.85,6.8,3
Salyan,2020-01-13,7.7,3.0,5.4,1.1,1.1,0.0,9.3,16.9,85,1021.9,93,2.6,5.3,51
Salyan,2020-01-14,9.4,0.9,4.5,0.0,0.0,0.0,10.7,23.8,81,1028.3,6,9.41,7.3,2
