city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Samukh,2020-01-01,12.0,0.8,6.4,1.0,1.0,0.0,12.6,25.6,70,1014.4,26,8.29,8.7,55,40.77,46.41
Samukh,2020-01-02,11.6,3.9,7.2,0.7,0.7,0.0,19.2,35.6,65,1019.3,46,7.19,7.6,53,40.77,46.41
Samukh,2020-01-03,8.6,3.1,6.0,0.0,0.0,0.0,19.0,32.8,68,1025.7,82,5.17,5.7,3,40.77,46.41
Samukh,2020-01-04,5.8,2.8,4.4,0.3,0.3,0.0,10.7,19.1,84,1021.5,98,2.19,3.2,51,40.77,46.41
Samukh,2020-01-05,9.6,0.1,3.9,0.0,0.0,0.0,10.4,21.6,74,1015.4,34,8.62,6.1,3,40.77,46.41
Samukh,2020-01-06,9.1,-1.1,2.5,0.0,0.0,0.0,8.4,14.0,74,1022.0,0,8.77,6.5,0,40.77,46.41
Samukh,2020-01-07,9.1,-0.8,3.1,0.0,0.0,0.0,9.6,18.0,70,1022.5,17,8.6,6.1,3,40.77,46.41
Samukh,2020-01-08,9.2,-1.5,3.3,0.0,0.0,0.0,11.8,16.9,59,1017.2,50,7.4,6.2,3,40.77,46.41
Samukh,2020-01-09,8.5,-1.6,3.1,0.0,0.0,0.0,15.5,25.9,67,1017.6,78,6.33,5.6,3,40.77,46.41
Samukh,2020-01-10,9.9,0.6,3.9,0.0,0.0,0.0,13.4,23.4,69,1020.1,9,8.87,6.4,1,40.77,46.41
Samukh,2020-01-11,9.9,-0.8,3.9,0.0,0.0,0.0,11.3,22.0,68,1023.1,27,8.91,6.6,3,40.77,46.41
Samukh,2020-01-12,9.5,-0.9,4.2,0.0,0.0,0.0,16.7,29.5,64,1019.7,66,8.3,5.9,3,40.77,46.41
Samukh,2020-01-13,10.5,3.3,6.6,0.0,0.0,0.0,23.7,44.6,53,1021.7,51,8.8,4.4,3,40.77,46.41
Samukh,2020-01-14,9.8,0.3,4.2,0.0,0.0,0.0,18.4,34.9,59,1028.2,6,9.47,6.7,2,40.77,46.41
Samukh,2020-01-15,8.6,-0.4,3.4,0.0,0.0,0.0,12.5,21.6,68,1028.6,90,6.95,5.5,3,40.77,46.41
Samukh,2020-01-16,5.6,2.3,3.5,8.0,8.0,0.0,7.9,15.8,89,1035.3,100,2.65,3.2,53,40.77,46.41
Samukh,2020-01-17,6.0,0.0,2.5,2.2,2.2,0.0,16.1,28.1,82,1029.2,55,7.96,2.2,53,40.77,46.41
Samukh,2020-01-18,9.3,-1.8,2.1,0.0,0.0,0.0,11.6,21.6,67,1022.2,49,9.4,5.8,3,40.77,46.41
Samukh,2020-01-19,3.5,-1.2,1.8,1.9,1.9,0.0,11.0,20.2,88,1026.5,99,2.27,1.2,51,40.77,46.41
Samukh,2020-01-20,5.3,0.9,2.7,0.2,0.2,0.0,8.2,17.3,82,1029.7,75,7.08,2.3,51,40.77,46.41
