city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Sari,2020-01-01,13.6,5.3,8.7,0.0,0.0,0.0,8.0,17.3,84,1014.1,27,9.94,12.0,3,36.56,53.06
Sari,2020-01-02,14.2,4.7,9.1,0.0,0.0,0.0,9.8,19.4,74,1018.5,22,9.64,11.9,2,36.56,53.06
Sari,2020-01-03,12.7,4.5,8.3,0.0,0.0,0.0,10.8,22.7,79,1023.2,23,9.42,10.5,2,36.56,53.06
Sari,2020-01-04,11.6,4.6,8.0,0.5,0.5,0.0,12.5,22.7,81,1018.0,51,8.98,9.7,51,36.56,53.06
Sari,2020-01-05,11.4,6.2,8.2,2.1,2.1,0.0,13.3,26.3,83,1014.3,65,6.93,9.3,51,36.56,53.06
Sari,2020-01-06,12.8,5.0,8.4,0.1,0.1,0.0,8.1,20.9,80,1021.6,20,9.2,10.9,51,36.56,53.06
Sari,2020-01-07,14.8,2.2,7.7,0.0,0.0,0.0,12.2,25.6,72,1022.0,0,10.62,11.8,0,36.56,53.06
Sari,2020-01-08,14.9,4.8,8.7,0.0,0.0,0.0,12.5,23.8,60,1015.4,7,10.86,13.4,3,36.56,53.06
Sari,2020-01-09,11.6,7.0,8.9,3.1,3.1,0.0,16.9,32.4,75,1014.9,81,5.07,9.2,53,36.56,53.06
Sari,2020-01-10,10.9,6.9,8.4,6.5,6.5,0.0,9.5,22.0,87,1018.1,93,4.28,8.9,63,36.56,53.06
Sari,2020-01-11,9.4,5.3,7.2,7.4,7.4,0.0,10.9,24.1,86,1021.5,84,4.36,7.2,53,36.56,53.06
Sari,2020-01-12,11.7,3.2,6.8,1.7,1.7,0.0,8.9,21.6,75,1019.9,58,9.94,9.6,53,36.56,53.06
Sari,2020-01-13,11.9,3.0,7.0,0.0,0.0,0.0,10.3,19.8,59,1018.9,86,9.37,8.8,3,36.56,53.06
Sari,2020-01-14,8.4,6.5,7.7,8.5,8.5,0.0,18.6,35.6,85,1027.7,89,1.74,5.8,61,36.56,53.06
Sari,2020-01-15,13.1,2.3,7.3,0.1,0.1,0.0,9.4,21.6,82,1026.7,23,10.97,10.9,51,36.56,53.06
Sari,2020-01-16,11.2,5.5,8.3,1.4,1.4,0.0,9.7,22.0,88,1032.0,57,7.96,9.3,51,36.56,53.06
Sari,2020-01-17,11.1,3.6,7.0,0.0,0.0,0.0,7.7,19.1,85,1026.0,64,8.16,9.3,3,36.56,53.06
Sari,2020-01-18,9.9,4.3,7.3,0.5,0.5,0.0,11.4,23.8,81,1020.8,91,2.7,7.7,51,36.56,53.06
Sari,2020-01-19,7.9,5.8,7.0,9.3,9.3,0.0,11.8,25.9,92,1023.0,100,1.3,6.4,61,36.56,53.06
Sari,2020-01-20,7.1,3.4,5.3,3.5,3.5,0.0,14.3,27.4,92,1027.0,96,3.88,4.4,51,36.56,53.06
Sari,2020-01-21,7.9,2.5,5.2,0.9,0.9,0.0,6.5,15.1,89,1025.9,80,3.88,5.7,51,36.56,53.06
Sari,2020-01-22,10.2,1.5,5.3,0.0,0.0,0.0,6.1,15.5,79,1022.9,42,11.1,8.2,3,36.56,53.06
Sari,2020-01-23,12.1,1.3,6.4,0.0,0.0,0.0,13.7,25.6,72,1011.6,19,11.31,10.1,3,36.56,53.06
Sari,2020-01-24,13.3,2.7,7.9,2.8,2.8,0.0,24.5,46.4,67,1016.6,38,10.79,10.7,61,36.56,53.06
Sari,2020-01-25,8.0,-1.2,4.0,19.9,19.0,0.63,30.6,63.0,85,1028.3,68,4.92,5.5,73,36.56,53.06
Sari,2020-01-26,12.4,-2.3,4.0,0.0,0.0,0.0,9.0,19.1,69,1021.8,0,12.24,9.8,0,36.56,53.06
Sari,2020-01-27,12.2,1.5,6.3,0.0,0.0,0.0,13.0,23.8,70,1027.2,18,11.32,10.1,3,36.56,53.06
Sari,2020-01-28,13.6,-0.6,5.9,0.0,0.0,0.0,13.1,24.8,63,1021.9,2,12.56,11.4,1,36.56,53.06
Sari,2020-01-29,15.2,4.2,8.9,0.0,0.0,0.0,13.5,26.3,57,1014.8,54,10.38,13.0,3,36.56,53.06
Sari,2020-01-30,16.1,5.8,10.3,0.0,0.0,0.0,15.5,29.2,57,1014.6,30,12.48,14.1,3,36.56,53.06
Sari,2020-01-31,20.0,6.4,12.4,0.0,0.0,0.0,22.4,42.1,41,1008.6,28,12.93,17.2,3,36.56,53.06
Sari,2020-02-01,21.2,8.0,12.2,6.5,6.5,0.0,22.3,51.5,56,1007.6,64,11.3,18.0,63,36.56,53.06
