city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Shabran,2020-01-01,9.9,2.0,5.9,0.0,0.0,0.0,8.8,23.0,79,1013.6,24,8.06,7.7,2,41.22,48.99
Shabran,2020-01-02,7.2,4.0,5.6,1.7,1.7,0.0,15.3,32.8,84,1021.0,92,1.7,4.1,51,41.22,48.99
Shabran,2020-01-03,4.8,3.1,3.8,3.3,3.3,0.0,12.1,27.7,92,1027.4,98,1.52,2.4,51,41.22,48.99
Shabran,2020-01-04,7.8,2.5,4.8,0.2,0.2,0.0,12.3,23.8,84,1019.8,67,6.36,6.1,51,41.22,48.99
Shabran,2020-01-05,8.6,2.0,5.0,0.0,0.0,0.0,10.2,27.0,79,1015.4,56,6.16,6.1,3,41.22,48.99
Shabran,2020-01-06,9.1,1.6,4.8,0.0,0.0,0.0,8.7,22.0,82,1022.0,52,6.93,6.5,3,41.22,48.99
Shabran,2020-01-07,9.4,2.3,5.8,0.0,0.0,0.0,11.1,22.3,79,1019.3,76,6.05,7.2,3,41.22,48.99
Shabran,2020-01-08,10.7,1.1,5.7,0.1,0.1,0.0,10.1,24.1,74,1017.3,63,6.37,8.1,51,41.22,48.99
Shabran,2020-01-09,8.9,5.4,6.7,1.2,1.2,0.0,17.3,38.5,82,1017.5,100,2.94,4.8,51,41.22,48.99
Shabran,2020-01-10,5.8,3.0,4.6,4.6,4.6,0.0,13.2,28.8,92,1021.3,98,2.16,3.5,51,41.22,48.99
Shabran,2020-01-11,5.3,2.8,3.9,3.4,3.4,0.0,8.6,20.2,89,1023.8,98,2.23,2.7,53,41.22,48.99
Shabran,2020-01-12,8.6,-0.8,3.5,0.0,0.0,0.0,9.7,18.7,85,1017.2,63,7.73,6.1,3,41.22,48.99
Shabran,2020-01-13,5.2,2.2,3.9,5.3,5.3,0.0,19.5,41.4,87,1023.4,97,1.37,1.3,53,41.22,48.99
Shabran,2020-01-14,9.2,-0.4,3.5,0.0,0.0,0.0,9.1,23.0,78,1028.2,46,8.47,6.6,3,41.22,48.99
Shabran,2020-01-15,4.2,2.4,3.3,7.7,7.7,0.0,17.9,37.4,90,1030.4,100,1.37,0.8,55,41.22,48.99
