city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Shahbuz,2020-01-01,5.4,-2.5,0.6,0.0,0.0,0.0,8.2,20.2,69,1016.0,35,8.25,2.4,3
Shahbuz,2020-01-02,5.4,-2.6,0.4,0.0,0.0,0.0,7.3,18.0,64,1020.1,30,7.23,1.8,2
Shahbuz,2020-01-03,5.5,-2.2,0.7,0.0,0.0,0.0,4.7,14.8,65,1023.2,61,5.28,2.6,3
Shahbuz,2020-01-04,4.8,-3.0,-0.4,0.4,0.0,0.28,8.1,18.7,67,1018.3,84,6.47,0.8,71
Shahbuz,2020-01-05,4.0,-2.0,0.0,0.5,0.0,0.35,5.4,14.8,76,1016.6,73,7.87,1.1,71
Shahbuz,2020-01-06,4.4,-3.3,-0.2,0.0,0.0,0.0,6.1,15.8,65,1023.7,18,8.87,1.1,2
Shahbuz,2020-01-07,5.1,-3.1,0.2,0.0,0.0,0.0,6.9,20.5,61,1024.9,32,9.35,1.8,3
Shahbuz,2020-01-08,4.5,-2.2,0.4,0.0,0.0,0.0,11.0,26.3,59,1019.4,81,7.55,1.1,3
Shahbuz,2020-01-09,2.8,-2.8,-0.2,0.0,0.0,0.0,5.1,16.6,65,1018.2,91,8.49,-0.4,3
Shahbuz,2020-01-10,2.5,-2.7,-0.9,0.0,0.0,0.0,4.5,11.9,75,1020.2,51,7.3,-0.5,3
Shahbuz,2020-01-11,1.9,-3.6,-0.8,0.0,0.0,0.0,7.3,16.9,67,1023.7,39,7.33,-1.7,3
Shahbuz,2020-01-12,4.0,-4.1,-0.3,0.0,0.0,0.0,5.8,16.9,51,1021.8,67,8.78,0.2,3
Shahbuz,2020-01-13,0.7,-2.2,-1.3,4.8,0.0,3.36,7.1,15.8,82,1022.8,92,3.2,-2.5,75
Shahbuz,2020-01-14,2.3,-5.2,-1.6,0.0,0.0,0.0,5.8,15.1,72,1031.5,21,10.17,-1.0,2
Shahbuz,2020-01-15,2.9,-4.1,-1.0,0.0,0.0,0.0,4.7,16.2,38,1030.1,58,9.59,-1.2,3
Shahbuz,2020-01-16,1.0,-6.6,-3.1,0.0,0.0,0.0,8.0,19.1,57,1033.2,57,7.07,-3.1,3
Shahbuz,2020-01-17,2.9,-3.5,-1.1,0.0,0.0,0.0,6.8,20.9,61,1028.1,81,9.42,-0.8,3
Shahbuz,2020-01-18,0.7,-5.0,-3.0,0.0,0.0,0.0,10.5,23.0,69,1023.7,77,10.06,-3.1,3
Shahbuz,2020-01-19,1.2,-3.7,-1.5,0.7,0.0,0.49,7.1,19.8,73,1024.0,82,7.34,-2.4,71
Shahbuz,2020-01-20,2.3,-3.3,-1.2,0.0,0.0,0.0,7.3,16.6,72,1028.0,32,8.91,-0.7,2
Shahbuz,2020-01-21,0.5,-4.4,-2.0,0.0,0.0,0.0,6.1,17.6,77,1027.0,57,6.46,-2.6,3
Shahbuz,2020-01-22,1.6,-4.9,-2.5,0.0,0.0,0.0,7.6,22.0,69,1025.0,31,11.09,-2.4,3
Shahbuz,2020-01-23,3.0,-5.7,-1.8,0.0,0.0,0.0,8.1,21.2,50,1016.7,22,11.46,-1.1,3
Shahbuz,2020-01-24,1.6,-3.7,-1.0,3.8,0.0,2.73,13.0,28.8,69,1019.8,95,4.65,-1.8,73
Shahbuz,2020-01-25,-0.1,-6.1,-4.0,0.0,0.0,0.0,8.6,22.7,51,1030.9,17,11.45,-4.4,2
Shahbuz,2020-01-26,2.5,-6.5,-2.6,0.0,0.0,0.0,5.4,19.1,39,1028.3,13,11.79,-1.8,3
Shahbuz,2020-01-27,4.0,-4.7,-1.3,0.0,0.0,0.0,5.9,16.2,41,1028.8,10,11.76,0.1,3
Shahbuz,2020-01-28,5.0,-4.2,0.4,0.0,0.0,0.0,8.4,21.2,39,1025.5,30,11.65,0.7,3
Shahbuz,2020-01-29,4.8,-3.2,1.1,0.0,0.0,0.0,7.3,19.4,44,1020.1,56,8.88,0.9,3
Shahbuz,2020-01-30,6.8,-3.8,1.1,0.0,0.0,0.0,7.3,20.5,56,1019.4,41,10.8,3.6,3
Shahbuz,2020-01-31,9.6,-1.1,3.8,0.0,0.0,0.0,14.2,32.8,56,1010.9,84,9.59,5.1,3
Shahbuz,2020-02-01,3.1,-1.8,0.9,8.9,0.9,5.6,9.5,32.0,83,1009.2,96,4.19,-0.0,75
Shahbuz,2020-02-02,2.1,-4.6,-1.9,0.1,0.0,0.07,7.6,18.0,71,1022.8,30,12.25,-1.6,71
Shahbuz,2020-02-03,4.8,-4.8,-0.7,0.0,0.0,0.0,8.1,22.7,55,1022.7,12,12.64,0.7,3
Shahbuz,2020-02-04,6.6,-3.3,1.6,0.0,0.0,0.0,10.8,23.0,57,1014.5,77,7.09,2.8,3
Shahbuz,2020-02-05,7.8,-0.8,3.4,0.1,0.0,0.07,10.9,20.9,63,1017.1,71,5.51,5.2,71
Shahbuz,2020-02-06,11.9,0.7,5.3,0.0,0.0,0.0,9.5,24.1,59,1018.3,6,12.84,8.4,1
Shahbuz,2020-02-07,12.7,1.9,7.3,0.2,0.2,0.0,20.8,47.2,50,1008.5,44,7.65,7.5,51
Shahbuz,2020-02-08,8.1,1.1,4.1,13.5,6.1,5.18,21.4,50.4,78,1003.7,62,9.1,3.5,75
Shahbuz,2020-02-09,0.8,-11.1,-5.0,11.7,0.0,8.19,16.9,55.4,72,1014.9,96,9.77,-3.0,75
Shahbuz,2020-02-10,-3.5,-10.1,-6.6,1.1,0.1,0.7,12.0,30.2,57,1024.9,97,8.68,-8.6,71
Shahbuz,2020-02-11,-2.6,-8.2,-6.3,0.0,0.0,0.0,6.6,16.9,64,1025.0,54,12.75,-6.6,3
Shahbuz,2020-02-12,-0.5,-7.8,-4.2,0.0,0.0,0.0,7.6,22.0,47,1022.9,57,12.83,-4.8,3
Shahbuz,2020-02-13,1.3,-2.8,-0.5,6.3,0.0,4.41,5.6,16.2,70,1023.5,94,2.86,-2.2,73
Shahbuz,2020-02-14,2.1,-5.6,-2.2,0.5,0.0,0.35,15.5,35.3,67,1030.1,36,13.02,-2.4,71
Shahbuz,2020-02-15,2.4,-7.6,-2.2,0.0,0.0,0.0,9.5,22.3,33,1031.9,73,12.3,-1.8,3
Shahbuz,2020-02-16,1.9,-3.3,-1.0,0.1,0.0,0.07,7.1,20.9,42,1029.1,98,10.48,-2.3,71
Shahbuz,2020-02-17,1.2,-2.0,-0.9,4.6,0.1,3.15,10.9,24.8,85,1030.3,97,5.41,-2.6,73
Shahbuz,2020-02-18,6.0,-3.3,0.7,0.0,0.0,0.0,6.0,19.1,68,1032.3,28,13.65,2.9,3
Shahbuz,2020-02-19,4.1,-0.6,1.3,1.3,0.3,0.7,9.3,27.7,75,1025.5,69,8.84,0.7,73
Shahbuz,2020-02-20,2.3,-1.6,0.6,2.3,0.2,1.47,7.0,17.3,94,1017.2,99,4.76,0.0,73
Shahbuz,2020-02-21,9.3,0.9,4.2,0.0,0.0,0.0,6.8,20.2,75,1017.8,67,11.06,6.5,3
Shahbuz,2020-02-22,9.5,0.6,4.6,0.0,0.0,0.0,6.0,15.8,63,1019.4,88,11.26,7.2,3
Shahbuz,2020-02-23,10.7,2.2,5.9,0.3,0.3,0.0,7.7,19.4,64,1020.6,76,11.78,7.7,51
Shahbuz,2020-02-24,11.3,2.2,5.9,1.1,1.1,0.0,10.2,24.5,70,1016.8,42,12.42,8.2,51
Shahbuz,2020-02-25,10.2,-0.2,5.1,1.1,1.1,0.0,12.1,32.8,60,1010.0,48,8.05,7.7,53
Shahbuz,2020-02-26,4.7,-4.5,-0.3,0.0,0.0,0.0,9.6,23.8,62,1021.9,9,14.63,1.3,1
Shahbuz,2020-02-27,9.0,-2.9,2.6,0.0,0.0,0.0,6.1,19.4,43,1024.0,16,16.92,6.2,3
Shahbuz,2020-02-28,11.4,1.7,6.4,0.0,0.0,0.0,6.8,17.3,37,1016.1,85,12.89,8.3,3
Shahbuz,2020-02-29,13.6,0.9,7.2,0.2,0.2,0.0,10.3,24.1,51,1011.3,65,14.13,10.4,51
Shahbuz,2020-03-01,12.5,4.2,7.7,2.3,2.3,0.0,13.7,44.3,69,1009.9,80,14.03,10.5,53
Shahbuz,2020-03-02,6.8,1.6,3.8,2.8,2.8,0.0,12.5,29.9,83,1018.8,88,10.74,2.9,53
Shahbuz,2020-03-03,10.9,0.6,5.2,0.0,0.0,0.0,7.5,21.2,68,1022.5,23,16.19,8.6,2
Shahbuz,2020-03-04,12.3,1.3,6.2,0.0,0.0,0.0,6.1,19.8,62,1023.7,1,17.76,10.1,0
Shahbuz,2020-03-05,14.6,1.8,7.5,0.0,0.0,0.0,7.3,20.9,50,1019.8,33,17.47,11.8,3
Shahbuz,2020-03-06,15.4,3.5,8.7,0.0,0.0,0.0,9.6,22.0,42,1016.1,80,14.97,12.6,3
Shahbuz,2020-03-07,13.4,5.1,8.5,0.2,0.2,0.0,9.9,29.2,65,1017.8,96,12.04,10.7,51
Shahbuz,2020-03-08,14.3,3.6,8.0,0.0,0.0,0.0,9.6,24.1,65,1023.2,14,17.95,11.9,1
Shahbuz,2020-03-09,16.4,0.9,8.1,0.0,0.0,0.0,9.0,23.8,48,1022.8,0,18.94,13.1,0
Shahbuz,2020-03-10,17.2,2.9,9.4,0.0,0.0,0.0,11.3,25.9,32,1019.4,27,18.9,13.7,3
Shahbuz,2020-03-11,18.2,4.8,10.8,0.0,0.0,0.0,7.6,21.6,33,1018.5,38,18.83,15.5,3
Shahbuz,2020-03-12,18.8,4.8,11.8,0.4,0.4,0.0,9.2,26.6,43,1019.2,35,19.03,15.6,51
Shahbuz,2020-03-13,19.4,7.0,13.3,0.3,0.3,0.0,12.4,28.8,40,1016.8,88,14.33,16.0,51
Shahbuz,2020-03-14,11.1,8.5,10.1,8.1,8.1,0.0,8.2,27.7,79,1012.1,91,4.35,9.8,55
Shahbuz,2020-03-15,15.4,8.1,10.8,0.9,0.9,0.0,8.4,24.8,72,1012.9,66,15.15,13.6,51
Shahbuz,2020-03-16,15.9,6.6,10.4,6.4,6.4,0.0,15.5,38.5,66,1012.8,68,14.73,13.9,61
Shahbuz,2020-03-17,14.4,5.6,9.1,11.8,11.8,0.0,16.5,39.2,68,1014.8,88,14.4,10.9,61
Shahbuz,2020-03-18,11.5,3.8,7.2,10.9,10.9,0.0,17.1,55.8,62,1011.6,91,8.08,7.9,61
Shahbuz,2020-03-19,11.8,1.8,6.9,1.2,1.2,0.0,11.8,29.2,66,1011.1,43,16.02,9.5,53
Shahbuz,2020-03-20,13.6,3.3,7.5,3.6,3.6,0.0,10.7,29.2,59,1011.4,51,17.45,11.2,53
