city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Shamakhi,2020-01-01,7.3,0.3,3.7,0.0,0.0,0.0,9.0,24.5,79,1014.1,2,8.6,4.2,0
Shamakhi,2020-01-02,6.8,-2.3,2.1,2.9,2.9,0.0,8.4,20.5,79,1019.3,40,7.73,3.5,53
Shamakhi,2020-01-03,2.3,0.6,1.2,13.6,4.1,6.65,9.3,20.5,95,1026.9,100,2.06,-0.3,75
Shamakhi,2020-01-04,3.1,0.3,1.6,0.6,0.2,0.28,7.4,15.5,95,1021.3,100,2.05,0.6,71
Shamakhi,2020-01-05,6.1,0.4,3.2,0.8,0.8,0.0,5.9,16.9,84,1014.9,77,4.15,3.6,51
Shamakhi,2020-01-06,6.6,-0.5,2.6,0.0,0.0,0.0,5.9,18.0,86,1022.2,60,7.88,3.6,3
Shamakhi,2020-01-07,4.2,-2.2,0.9,0.0,0.0,0.0,14.3,33.8,90,1022.3,24,8.75,0.1,2
Shamakhi,2020-01-08,7.3,-1.4,2.2,0.0,0.0,0.0,9.0,19.4,65,1017.4,57,7.58,3.8,3
Shamakhi,2020-01-09,5.1,-0.7,2.0,0.0,0.0,0.0,9.3,20.9,78,1017.2,92,6.81,1.9,3
Shamakhi,2020-01-10,4.0,-1.0,1.2,1.4,1.3,0.07,9.0,20.9,92,1020.6,79,3.2,0.8,71
Shamakhi,2020-01-11,1.4,-0.5,0.6,4.9,1.1,2.66,7.6,18.4,96,1023.9,92,2.01,-1.1,73
Shamakhi,2020-01-12,2.8,-3.1,0.3,0.0,0.0,0.0,11.3,29.2,87,1019.4,84,7.35,-0.2,3
Shamakhi,2020-01-13,4.0,-0.7,1.7,0.3,0.3,0.0,8.3,19.8,81,1021.9,87,4.58,0.9,51
Shamakhi,2020-01-14,6.1,-2.8,1.6,0.0,0.0,0.0,8.7,20.2,85,1028.2,35,9.55,3.2,3
Shamakhi,2020-01-15,5.4,-2.5,1.1,0.0,0.0,0.0,16.1,35.6,73,1028.9,89,5.76,1.3,3
Shamakhi,2020-01-16,2.9,-0.3,1.3,1.4,1.1,0.28,8.1,21.2,87,1035.8,98,4.51,-0.1,71
Shamakhi,2020-01-17,2.3,-0.9,0.5,1.4,1.0,0.28,5.8,13.7,94,1028.2,95,1.32,-0.2,71
Shamakhi,2020-01-18,4.6,-3.3,-0.3,0.0,0.0,0.0,9.8,25.2,73,1022.0,42,9.93,0.7,3
Shamakhi,2020-01-19,1.2,-3.0,-0.8,0.9,0.0,0.63,7.1,20.5,81,1026.7,79,5.08,-2.2,71
Shamakhi,2020-01-20,0.8,-3.0,-1.2,1.4,0.1,0.91,8.6,21.2,93,1030.0,86,3.12,-2.9,71
Shamakhi,2020-01-21,2.5,-3.6,-0.9,0.0,0.0,0.0,6.2,19.8,81,1027.3,46,9.34,-1.0,2
Shamakhi,2020-01-22,4.2,-2.0,0.0,0.0,0.0,0.0,17.8,42.5,80,1022.1,43,10.27,-1.0,3
Shamakhi,2020-01-23,4.9,-4.5,-0.6,0.0,0.0,0.0,22.9,52.9,78,1010.6,8,10.52,0.2,3
Shamakhi,2020-01-24,2.1,-2.3,-0.5,3.0,0.0,2.1,14.1,28.4,81,1019.4,87,3.01,-1.0,73
Shamakhi,2020-01-25,0.3,-4.7,-2.6,0.0,0.0,0.0,20.9,49.0,76,1028.5,44,9.15,-5.2,3
Shamakhi,2020-01-26,4.3,-4.3,-0.7,0.0,0.0,0.0,9.4,22.3,53,1021.3,1,10.94,0.9,0
Shamakhi,2020-01-27,3.4,-3.0,0.6,0.0,0.0,0.0,15.7,37.4,70,1027.6,25,7.41,-0.8,3
Shamakhi,2020-01-28,5.7,-0.9,2.5,0.0,0.0,0.0,11.2,29.9,61,1021.9,15,11.05,1.2,2
Shamakhi,2020-01-29,7.1,0.7,3.3,0.0,0.0,0.0,11.8,30.6,57,1015.3,51,10.04,2.5,3
Shamakhi,2020-01-30,8.1,0.8,4.8,0.0,0.0,0.0,11.5,29.5,61,1013.4,25,11.23,4.5,3
Shamakhi,2020-01-31,10.6,1.1,6.3,0.0,0.0,0.0,12.6,26.6,60,1007.3,63,11.04,7.5,3
Shamakhi,2020-02-01,3.8,-0.2,1.2,8.0,0.8,5.04,11.2,24.1,88,1011.3,92,2.0,0.5,75
Shamakhi,2020-02-02,2.7,-1.9,0.6,2.2,0.0,1.54,9.7,24.8,89,1019.4,67,7.12,-0.6,73
Shamakhi,2020-02-03,6.4,-1.9,2.0,0.0,0.0,0.0,20.2,44.3,76,1015.4,11,11.79,2.0,2
Shamakhi,2020-02-04,11.1,-1.3,4.3,0.0,0.0,0.0,22.3,51.5,72,1004.8,52,11.02,6.1,3
Shamakhi,2020-02-05,6.2,0.5,3.1,0.0,0.0,0.0,14.5,36.7,78,1015.5,52,11.4,2.1,3
Shamakhi,2020-02-06,13.9,1.6,7.1,0.0,0.0,0.0,19.4,45.4,62,1009.8,6,12.07,9.6,2
Shamakhi,2020-02-07,15.2,4.3,9.8,0.0,0.0,0.0,15.5,37.4,55,1004.3,10,11.36,11.5,2
Shamakhi,2020-02-08,8.9,0.2,5.4,5.2,3.1,1.47,33.6,69.1,80,1003.7,85,8.42,6.0,73
Shamakhi,2020-02-09,0.3,-5.1,-1.9,6.3,0.1,4.34,31.7,70.6,69,1016.4,100,4.23,-4.1,73
Shamakhi,2020-02-10,1.0,-8.4,-3.9,0.0,0.0,0.0,18.8,42.1,47,1027.7,69,11.97,-3.0,3
Shamakhi,2020-02-11,-1.3,-7.2,-4.7,0.0,0.0,0.0,13.5,34.2,63,1022.9,15,13.19,-6.1,2
Shamakhi,2020-02-12,1.4,-5.3,-2.0,0.0,0.0,0.0,20.9,51.5,45,1013.3,21,13.65,-5.0,3
Shamakhi,2020-02-13,6.2,-3.0,1.1,0.0,0.0,0.0,17.8,41.4,58,1018.0,64,11.14,0.9,3
Shamakhi,2020-02-14,4.9,-2.8,1.1,0.3,0.1,0.14,11.9,27.7,65,1025.5,69,11.48,1.6,71
Shamakhi,2020-02-15,5.4,-3.4,1.3,0.0,0.0,0.0,11.9,30.2,61,1031.7,74,12.35,0.9,3
Shamakhi,2020-02-16,8.0,-0.6,3.3,0.0,0.0,0.0,13.9,28.4,76,1029.0,78,10.98,4.3,3
Shamakhi,2020-02-17,5.2,-0.4,2.1,0.0,0.0,0.0,13.6,29.2,67,1033.8,93,6.69,1.9,3
Shamakhi,2020-02-18,6.2,-0.9,2.2,0.0,0.0,0.0,18.1,42.8,78,1032.6,32,12.98,1.4,3
Shamakhi,2020-02-19,7.8,-2.6,2.7,0.0,0.0,0.0,9.4,26.6,79,1022.5,55,13.73,4.6,3
Shamakhi,2020-02-20,7.6,2.0,5.0,1.0,1.0,0.0,6.8,18.0,75,1015.4,98,3.78,5.3,51
Shamakhi,2020-02-21,10.3,1.9,5.5,0.0,0.0,0.0,12.5,30.6,86,1017.3,76,10.35,7.4,3
Shamakhi,2020-02-22,6.4,3.6,4.9,0.4,0.4,0.0,11.4,26.6,95,1021.8,100,4.5,3.4,51
Shamakhi,2020-02-23,11.4,2.5,6.6,0.0,0.0,0.0,16.6,39.2,84,1020.1,57,10.73,7.8,3
Shamakhi,2020-02-24,8.6,3.3,5.4,0.4,0.4,0.0,18.4,41.4,91,1015.8,65,9.01,4.9,51
Shamakhi,2020-02-25,14.6,0.8,7.0,8.5,3.3,3.64,21.5,49.0,66,1007.5,34,13.4,12.0,75
Shamakhi,2020-02-26,5.2,1.2,2.6,0.3,0.2,0.07,12.4,29.9,74,1022.6,70,6.88,0.9,71
Shamakhi,2020-02-27,8.8,-1.8,2.6,0.0,0.0,0.0,16.6,37.4,68,1020.4,12,15.97,3.9,2
Shamakhi,2020-02-28,11.5,2.2,7.6,0.0,0.0,0.0,11.7,32.4,50,1010.4,56,15.89,8.5,3
Shamakhi,2020-02-29,12.8,1.9,7.3,0.2,0.2,0.0,15.0,32.0,67,1013.6,51,13.64,10.4,51
Shamakhi,2020-03-01,10.0,1.7,6.2,0.0,0.0,0.0,15.1,34.6,68,1013.6,51,15.46,8.0,3
Shamakhi,2020-03-02,4.7,0.9,3.0,12.6,9.8,1.96,15.3,35.6,93,1022.2,100,2.76,2.0,73
Shamakhi,2020-03-03,11.8,2.0,6.8,1.2,1.2,0.0,9.8,25.2,79,1022.9,50,15.94,9.9,53
Shamakhi,2020-03-04,12.6,2.3,7.7,0.0,0.0,0.0,8.8,24.8,82,1023.3,17,16.52,11.0,2
Shamakhi,2020-03-05,14.0,4.2,9.8,0.0,0.0,0.0,10.5,27.7,68,1018.8,25,16.89,12.0,3
Shamakhi,2020-03-06,15.1,4.9,10.2,0.0,0.0,0.0,8.8,24.8,58,1018.6,47,16.85,12.9,3
Shamakhi,2020-03-07,13.1,2.0,8.1,0.0,0.0,0.0,11.6,24.1,60,1024.2,84,16.39,11.0,3
Shamakhi,2020-03-08,11.2,0.8,5.7,0.0,0.0,0.0,6.8,22.0,71,1026.8,7,17.74,9.5,3
Shamakhi,2020-03-09,12.6,1.4,6.7,0.0,0.0,0.0,8.2,24.8,73,1026.5,0,18.31,11.0,0
Shamakhi,2020-03-10,12.2,2.2,7.4,0.0,0.0,0.0,8.7,25.6,66,1021.5,0,18.32,10.6,0
Shamakhi,2020-03-11,14.2,3.0,8.8,0.0,0.0,0.0,8.9,26.6,80,1017.6,49,17.34,12.7,3
Shamakhi,2020-03-12,17.1,6.4,11.5,0.0,0.0,0.0,10.0,27.7,61,1016.5,49,17.58,15.4,3
Shamakhi,2020-03-13,15.5,5.8,10.5,0.0,0.0,0.0,16.2,39.6,74,1019.2,79,15.53,13.3,3
Shamakhi,2020-03-14,14.6,5.7,10.2,0.2,0.2,0.0,14.7,36.0,79,1010.2,98,12.28,12.3,51
Shamakhi,2020-03-15,11.4,9.2,10.6,7.0,7.0,0.0,9.7,22.3,90,1013.6,100,3.09,10.6,55
Shamakhi,2020-03-16,9.7,3.0,7.9,8.8,8.8,0.0,12.4,25.9,91,1017.5,99,4.01,8.4,55
Shamakhi,2020-03-17,4.8,2.2,3.2,3.0,3.0,0.0,11.0,25.2,68,1026.6,100,3.93,1.8,53
Shamakhi,2020-03-18,7.8,2.3,4.6,1.1,1.1,0.0,10.8,26.3,67,1024.0,97,9.21,5.3,53
Shamakhi,2020-03-19,7.7,2.2,4.6,5.9,5.9,0.0,10.8,28.8,88,1015.8,100,10.49,4.8,63
Shamakhi,2020-03-20,7.5,3.5,5.2,1.9,1.9,0.0,11.5,28.1,91,1016.0,100,6.57,4.6,51
Shamakhi,2020-03-21,9.4,4.8,6.3,4.5,4.5,0.0,7.9,22.0,89,1019.7,92,9.41,6.8,53
Shamakhi,2020-03-22,8.6,4.6,6.3,0.1,0.1,0.0,9.0,23.8,88,1020.4,94,9.77,6.2,51
Shamakhi,2020-03-23,11.1,1.9,7.6,0.0,0.0,0.0,9.7,26.6,82,1018.7,58,10.79,9.8,3
Shamakhi,2020-03-24,14.6,3.9,9.1,0.0,0.0,0.0,9.8,29.5,71,1019.0,57,14.73,13.1,3
Shamakhi,2020-03-25,13.6,5.8,9.5,2.4,2.4,0.0,9.5,31.0,67,1021.0,69,16.65,11.6,55
Shamakhi,2020-03-26,13.8,0.6,7.9,0.0,0.0,0.0,11.7,24.5,59,1024.5,16,20.67,12.1,1
Shamakhi,2020-03-27,13.4,2.1,8.4,0.0,0.0,0.0,10.0,27.7,54,1023.3,14,21.2,11.2,2
Shamakhi,2020-03-28,13.8,2.8,8.6,0.0,0.0,0.0,11.1,28.8,65,1018.5,28,18.98,12.1,3
Shamakhi,2020-03-29,13.2,5.8,9.0,0.1,0.1,0.0,10.4,21.6,57,1009.7,80,12.74,10.1,51
Shamakhi,2020-03-30,14.4,4.1,8.9,1.5,1.5,0.0,17.7,42.1,79,1002.9,73,17.2,11.6,51
Shamakhi,2020-03-31,12.4,7.0,9.4,3.4,3.4,0.0,9.5,23.0,80,1009.7,74,10.83,11.0,61
Shamakhi,2020-04-01,16.9,4.8,10.8,0.9,0.9,0.0,12.3,32.0,72,1012.9,50,18.85,14.3,53
Shamakhi,2020-04-02,11.3,7.2,9.3,14.7,14.7,0.0,17.9,40.3,89,1009.6,88,4.5,10.8,61
Shamakhi,2020-04-03,12.8,5.7,8.7,0.1,0.1,0.0,15.2,37.4,84,1015.8,85,16.59,10.1,51
Shamakhi,2020-04-04,10.1,5.7,7.6,9.5,9.5,0.0,10.2,20.2,92,1019.8,97,5.49,8.4,61
Shamakhi,2020-04-05,14.2,5.6,9.4,0.3,0.3,0.0,13.3,33.8,83,1022.8,56,20.92,12.7,51
Shamakhi,2020-04-06,14.6,4.8,9.2,9.4,9.4,0.0,18.6,41.0,83,1019.7,72,12.75,12.8,61
Shamakhi,2020-04-07,4.6,-1.1,1.4,10.5,1.5,6.37,12.6,38.2,80,1030.5,100,4.75,1.0,75
Shamakhi,2020-04-08,3.5,-0.6,0.9,3.7,0.2,2.52,14.2,34.9,77,1034.5,89,12.14,-0.2,73
Shamakhi,2020-04-09,8.0,0.2,4.0,0.1,0.0,0.07,12.4,32.8,72,1023.6,73,17.94,5.0,71
Shamakhi,2020-04-10,11.1,0.2,6.3,0.0,0.0,0.0,9.2,27.7,74,1015.3,84,18.33,10.0,3
Shamakhi,2020-04-11,12.8,3.5,7.8,1.3,1.3,0.0,12.6,30.2,80,1013.7,87,12.58,9.9,53
Shamakhi,2020-04-12,12.0,5.2,7.9,6.2,6.2,0.0,14.0,34.2,79,1018.1,68,12.26,9.2,63
Shamakhi,2020-04-13,6.4,3.5,4.7,6.5,6.5,0.0,13.6,29.9,81,1026.4,92,6.56,4.2,53
Shamakhi,2020-04-14,12.2,4.0,6.9,0.4,0.4,0.0,18.0,42.8,82,1023.6,56,18.82,9.1,51
Shamakhi,2020-04-15,15.2,2.0,9.1,0.0,0.0,0.0,12.7,33.5,80,1017.2,7,23.4,13.7,2
Shamakhi,2020-04-16,17.3,5.8,11.9,0.0,0.0,0.0,12.1,27.0,71,1012.3,39,22.62,17.0,3
Shamakhi,2020-04-17,15.1,6.2,9.5,0.0,0.0,0.0,19.2,44.3,81,1018.4,61,16.34,11.9,3
Shamakhi,2020-04-18,18.1,6.1,11.8,0.0,0.0,0.0,12.0,29.2,75,1014.4,5,24.16,17.7,1
Shamakhi,2020-04-19,18.1,8.8,13.4,0.0,0.0,0.0,14.0,33.1,74,1013.9,69,22.62,17.2,3
Shamakhi,2020-04-20,20.1,8.8,14.3,0.0,0.0,0.0,12.5,32.4,73,1012.4,58,23.79,19.0,3
Shamakhi,2020-04-21,18.9,10.6,14.7,0.6,0.6,0.0,12.4,31.0,68,1010.4,67,18.22,19.6,51
Shamakhi,2020-04-22,11.9,6.5,9.5,1.2,1.2,0.0,10.5,25.2,78,1014.2,90,13.45,9.9,51
Shamakhi,2020-04-23,8.6,5.3,6.5,9.0,9.0,0.0,8.8,20.5,85,1016.3,100,5.77,6.8,61
Shamakhi,2020-04-24,7.9,3.8,5.5,3.1,3.1,0.0,10.0,24.5,78,1020.3,98,7.38,4.3,53
Shamakhi,2020-04-25,10.0,2.1,6.1,0.6,0.6,0.0,13.2,34.6,82,1013.5,88,14.65,8.0,51
