city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Shamkir,2020-01-01,9.3,1.3,4.9,0.0,0.0,0.0,8.7,24.1,72,1014.6,26,8.31,6.6,3
Shamkir,2020-01-02,8.9,2.0,5.1,2.1,1.3,0.56,10.0,23.8,70,1019.6,54,6.52,5.8,73
Shamkir,2020-01-03,5.8,1.6,3.7,0.1,0.1,0.0,10.1,23.8,77,1025.9,82,4.58,2.9,51
Shamkir,2020-01-04,3.2,1.3,2.1,1.3,0.8,0.35,7.7,18.0,93,1021.8,99,2.06,0.4,71
Shamkir,2020-01-05,7.1,-1.1,2.4,0.0,0.0,0.0,7.1,21.2,73,1015.5,34,8.76,3.9,3
Shamkir,2020-01-06,6.4,-1.1,2.9,0.0,0.0,0.0,6.4,21.2,65,1021.8,0,8.95,3.5,0
Shamkir,2020-01-07,7.6,-1.3,2.6,0.0,0.0,0.0,6.8,22.0,65,1022.5,17,8.78,4.6,3
Shamkir,2020-01-08,8.7,0.8,4.5,0.0,0.0,0.0,5.4,17.3,53,1016.8,46,7.52,5.4,3
Shamkir,2020-01-09,8.1,-1.2,3.1,0.0,0.0,0.0,9.5,22.7,56,1017.5,79,7.5,4.3,3
Shamkir,2020-01-10,7.3,0.5,3.0,0.0,0.0,0.0,12.7,27.4,64,1020.2,9,9.06,3.9,1
Shamkir,2020-01-11,7.0,-0.3,2.4,0.0,0.0,0.0,9.9,23.0,68,1023.2,28,9.12,3.5,3
Shamkir,2020-01-12,6.4,-0.4,2.8,0.0,0.0,0.0,9.1,22.3,63,1019.8,76,7.58,3.8,3
Shamkir,2020-01-13,7.8,1.6,4.8,0.9,0.9,0.0,18.7,44.6,59,1022.0,52,8.45,3.2,53
Shamkir,2020-01-14,7.3,-0.5,2.9,0.0,0.0,0.0,8.8,22.3,58,1028.2,8,9.6,4.2,3
Shamkir,2020-01-15,7.1,-0.5,2.9,0.0,0.0,0.0,7.3,15.5,50,1028.4,88,6.76,3.7,3
Shamkir,2020-01-16,3.1,0.9,1.7,6.0,0.7,3.78,7.4,20.2,89,1035.5,100,2.77,0.1,73
Shamkir,2020-01-17,3.9,-1.0,1.0,1.7,0.0,1.19,10.5,28.4,85,1029.3,66,6.11,0.2,73
Shamkir,2020-01-18,6.5,-1.8,1.4,0.0,0.0,0.0,6.2,18.7,52,1022.0,50,9.27,3.1,3
Shamkir,2020-01-19,1.4,-1.8,0.3,2.8,0.0,1.96,9.2,23.0,82,1026.7,99,2.03,-2.0,73
Shamkir,2020-01-20,2.3,-0.6,0.6,0.2,0.0,0.14,4.6,16.2,85,1029.8,88,4.29,-0.6,71
Shamkir,2020-01-21,5.6,-1.3,1.8,0.0,0.0,0.0,7.6,20.2,72,1026.6,33,8.61,2.6,2
Shamkir,2020-01-22,6.9,-0.4,2.5,0.0,0.0,0.0,15.3,36.7,61,1023.2,20,10.4,2.3,3
Shamkir,2020-01-23,7.3,-0.8,2.6,0.0,0.0,0.0,14.5,33.5,58,1012.8,20,10.0,2.9,3
Shamkir,2020-01-24,3.9,-1.2,1.9,0.0,0.0,0.0,16.8,37.8,56,1020.4,74,5.64,-0.9,3
Shamkir,2020-01-25,3.2,-3.6,-0.6,0.0,0.0,0.0,9.0,24.8,52,1028.7,5,10.72,-1.0,1
Shamkir,2020-01-26,9.5,-1.2,3.4,0.0,0.0,0.0,13.1,31.3,41,1021.7,0,11.01,5.1,0
Shamkir,2020-01-27,7.0,-1.0,2.5,0.0,0.0,0.0,8.9,24.1,56,1027.2,0,10.83,3.7,0
Shamkir,2020-01-28,8.8,-2.0,3.3,0.0,0.0,0.0,6.6,21.6,53,1021.8,36,10.35,5.0,3
Shamkir,2020-01-29,11.5,-0.2,5.5,0.0,0.0,0.0,10.5,24.1,44,1015.2,69,10.61,7.7,3
Shamkir,2020-01-30,12.7,3.3,7.0,0.0,0.0,0.0,9.9,23.0,53,1014.0,22,11.08,9.8,2
Shamkir,2020-01-31,12.7,2.7,7.1,1.0,1.0,0.0,24.0,54.7,59,1008.2,89,8.73,9.9,53
Shamkir,2020-02-01,5.5,2.2,4.1,2.0,1.2,0.56,18.2,42.1,68,1011.4,96,5.06,1.2,71
Shamkir,2020-02-02,9.3,-0.4,3.8,0.0,0.0,0.0,10.7,29.5,58,1019.0,10,11.7,5.3,1
