city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Sharur,2020-01-01,6.2,-1.4,2.6,0.0,0.0,0.0,10.1,19.4,70,1016.9,35,8.64,2.9,3,39.55,44.98
Sharur,2020-01-02,7.1,-0.5,3.5,0.0,0.0,0.0,11.8,26.6,62,1020.9,35,8.08,3.3,3,39.55,44.98
Sharur,2020-01-03,6.5,-0.4,2.6,0.0,0.0,0.0,11.3,24.1,77,1024.3,68,6.09,3.5,3,39.55,44.98
Sharur,2020-01-04,5.2,-0.8,1.7,0.0,0.0,0.0,14.1,28.8,81,1019.3,91,6.84,2.8,3,39.55,44.98
Sharur,2020-01-05,5.4,-1.1,1.7,0.0,0.0,0.0,9.4,20.9,77,1017.2,52,8.27,2.4,3,39.55,44.98
Sharur,2020-01-06,6.2,-3.3,1.0,0.0,0.0,0.0,9.6,17.6,68,1024.6,22,9.03,2.8,2,39.55,44.98
Sharur,2020-01-07,7.2,-1.8,2.3,0.0,0.0,0.0,8.2,19.4,68,1026.0,49,8.77,3.9,3,39.55,44.98
Sharur,2020-01-08,5.2,-2.0,1.7,0.0,0.0,0.0,10.8,22.3,65,1020.8,89,7.69,2.0,3,39.55,44.98
Sharur,2020-01-09,5.2,-2.0,1.3,0.0,0.0,0.0,9.5,17.3,62,1018.4,94,8.38,2.2,3,39.55,44.98
Sharur,2020-01-10,5.7,-0.6,2.5,0.0,0.0,0.0,13.0,29.5,55,1020.3,35,9.68,1.3,3,39.55,44.98
Sharur,2020-01-11,6.0,-1.6,2.2,0.0,0.0,0.0,8.7,20.2,52,1023.6,22,10.32,2.1,2,39.55,44.98
Sharur,2020-01-12,5.6,-2.2,1.1,0.0,0.0,0.0,9.6,16.9,50,1022.7,68,8.61,1.6,3,39.55,44.98
Sharur,2020-01-13,4.7,-2.8,0.5,2.2,0.5,1.19,14.5,28.4,73,1022.6,72,5.02,1.1,73,39.55,44.98
Sharur,2020-01-14,4.9,-1.1,0.9,0.0,0.0,0.0,6.2,16.2,49,1031.8,7,10.51,1.4,2,39.55,44.98
Sharur,2020-01-15,4.3,-5.9,-1.2,0.0,0.0,0.0,9.6,16.2,50,1031.5,56,9.77,0.8,3,39.55,44.98
Sharur,2020-01-16,4.3,-2.9,0.2,0.0,0.0,0.0,8.6,18.7,51,1034.0,57,8.18,1.1,3,39.55,44.98
Sharur,2020-01-17,6.8,-4.0,0.8,0.0,0.0,0.0,12.2,25.6,64,1028.6,51,10.01,3.1,3,39.55,44.98
Sharur,2020-01-18,3.8,-5.9,-1.8,0.0,0.0,0.0,9.4,20.2,56,1024.1,47,10.26,-0.1,3,39.55,44.98
Sharur,2020-01-19,3.8,-2.3,-0.2,0.0,0.0,0.0,7.1,13.3,66,1024.4,78,7.23,0.9,3,39.55,44.98
Sharur,2020-01-20,5.4,-3.0,0.2,0.0,0.0,0.0,9.6,19.8,77,1028.4,44,9.26,2.5,3,39.55,44.98
Sharur,2020-01-21,5.7,-3.8,0.0,0.0,0.0,0.0,9.0,19.8,69,1026.5,11,10.97,2.3,1,39.55,44.98
Sharur,2020-01-22,5.1,-4.2,0.6,0.0,0.0,0.0,14.1,32.0,52,1025.0,10,11.29,0.2,3,39.55,44.98
Sharur,2020-01-23,6.1,-4.8,0.3,0.0,0.0,0.0,9.2,22.0,48,1016.9,24,11.26,1.7,3,39.55,44.98
Sharur,2020-01-24,3.7,-2.0,0.8,0.8,0.0,0.56,23.3,45.4,52,1020.4,87,6.16,-2.6,73,39.55,44.98
Sharur,2020-01-25,3.2,-6.0,-1.7,0.0,0.0,0.0,9.9,25.6,37,1031.1,3,11.75,-1.6,1,39.55,44.98
Sharur,2020-01-26,4.4,-5.0,-0.9,0.0,0.0,0.0,8.6,15.1,34,1029.5,22,11.82,0.6,3,39.55,44.98
Sharur,2020-01-27,6.5,-2.9,1.0,0.0,0.0,0.0,8.5,17.3,37,1029.5,3,11.79,2.8,2,39.55,44.98
Sharur,2020-01-28,6.2,-3.7,1.1,0.0,0.0,0.0,9.2,19.1,44,1026.7,39,11.42,2.1,3,39.55,44.98
Sharur,2020-01-29,5.6,-2.2,1.6,0.0,0.0,0.0,8.5,18.0,48,1021.5,60,9.26,2.4,3,39.55,44.98
Sharur,2020-01-30,9.8,-3.0,2.6,0.0,0.0,0.0,14.4,26.3,55,1019.9,41,10.35,5.8,3,39.55,44.98
Sharur,2020-01-31,11.6,-0.8,5.4,0.1,0.1,0.0,27.6,53.3,59,1010.6,93,9.38,6.2,51,39.55,44.98
Sharur,2020-02-01,6.2,-0.5,1.9,7.1,1.9,3.64,17.4,32.0,82,1010.2,97,4.45,3.4,73,39.55,44.98
Sharur,2020-02-02,6.0,-3.5,1.6,0.0,0.0,0.0,7.7,18.7,54,1022.6,12,12.51,2.3,3,39.55,44.98
Sharur,2020-02-03,7.6,-3.3,0.5,0.0,0.0,0.0,9.5,19.8,57,1023.3,12,12.66,3.7,2,39.55,44.98
Sharur,2020-02-04,8.7,-2.5,2.9,0.0,0.0,0.0,14.0,29.5,60,1014.5,66,7.15,4.9,3,39.55,44.98
Sharur,2020-02-05,10.9,0.1,4.8,0.0,0.0,0.0,10.8,20.5,64,1016.9,63,7.01,8.9,3,39.55,44.98
