city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Sheki,2020-01-01,7.5,0.4,3.8,0.0,0.0,0.0,10.7,28.1,65,1014.4,7,8.43,4.0,1,41.19,47.17
Sheki,2020-01-02,7.2,-1.2,2.8,1.7,1.7,0.0,12.2,22.7,71,1019.3,33,7.51,4.5,55,41.19,47.17
Sheki,2020-01-03,3.9,-0.0,1.5,9.7,8.4,0.91,12.2,27.4,90,1026.5,95,4.6,0.1,73,41.19,47.17
Sheki,2020-01-04,4.5,-0.3,1.4,0.0,0.0,0.0,7.7,19.1,90,1021.8,93,4.75,1.6,3,41.19,47.17
Sheki,2020-01-05,6.1,-2.6,2.0,0.0,0.0,0.0,8.7,16.9,67,1015.4,47,8.52,2.9,3,41.19,47.17
Sheki,2020-01-06,6.7,2.7,4.1,0.0,0.0,0.0,6.9,17.3,55,1022.2,0,8.94,3.3,0,41.19,47.17
Sheki,2020-01-07,7.9,-2.1,2.5,0.0,0.0,0.0,10.7,22.3,58,1022.0,19,8.76,3.8,3,41.19,47.17
Sheki,2020-01-08,7.4,-1.6,4.3,0.0,0.0,0.0,10.5,17.6,45,1017.1,50,7.6,3.7,3,41.19,47.17
Sheki,2020-01-09,6.2,-1.8,3.1,0.0,0.0,0.0,10.0,17.6,49,1017.5,72,6.78,2.8,3,41.19,47.17
Sheki,2020-01-10,5.6,-0.1,2.6,1.0,1.0,0.0,6.6,16.9,62,1020.5,51,7.48,2.4,51,41.19,47.17
Sheki,2020-01-11,2.7,-2.6,1.0,2.3,2.3,0.0,8.4,13.7,91,1023.8,71,4.79,0.3,53,41.19,47.17
Sheki,2020-01-12,5.5,-3.2,0.6,0.0,0.0,0.0,11.8,29.9,78,1019.5,78,6.98,1.4,3,41.19,47.17
Sheki,2020-01-13,5.8,-0.9,2.9,0.0,0.0,0.0,8.7,25.2,69,1021.8,71,6.98,3.1,3,41.19,47.17
Sheki,2020-01-14,5.7,-3.3,0.7,0.0,0.0,0.0,10.7,21.6,69,1028.3,8,9.47,2.9,1,41.19,47.17
Sheki,2020-01-15,4.2,-2.2,1.1,0.8,0.8,0.0,10.2,21.2,71,1029.0,96,6.3,0.3,51,41.19,47.17
Sheki,2020-01-16,2.1,-0.2,0.9,10.4,8.3,1.47,7.9,15.5,92,1036.4,100,2.75,-0.4,73,41.19,47.17
Sheki,2020-01-17,2.5,-2.1,0.0,10.0,5.4,3.22,12.8,28.4,93,1029.3,76,4.17,-1.4,73,41.19,47.17
Sheki,2020-01-18,6.5,-4.1,-0.6,0.0,0.0,0.0,10.1,25.6,66,1022.2,43,9.8,3.0,3,41.19,47.17
Sheki,2020-01-19,1.5,-2.4,0.0,1.0,0.8,0.14,8.9,20.9,83,1027.1,99,3.66,-1.2,71,41.19,47.17
Sheki,2020-01-20,-0.0,-2.7,-1.0,0.7,0.4,0.21,4.8,14.8,85,1030.4,90,3.15,-2.9,71,41.19,47.17
Sheki,2020-01-21,3.7,-4.5,-0.8,0.0,0.0,0.0,8.7,17.6,79,1027.1,41,9.8,0.7,3,41.19,47.17
Sheki,2020-01-22,4.4,-2.2,0.4,0.0,0.0,0.0,16.9,41.0,74,1022.8,45,10.23,-0.5,3,41.19,47.17
Sheki,2020-01-23,6.2,-2.5,1.5,0.0,0.0,0.0,19.9,49.3,61,1011.5,14,10.3,1.1,2,41.19,47.17
Sheki,2020-01-24,3.5,-2.3,1.5,0.0,0.0,0.0,19.1,47.2,49,1019.2,69,5.76,-2.0,3,41.19,47.17
Sheki,2020-01-25,1.7,-5.1,-2.5,0.0,0.0,0.0,16.3,38.5,54,1028.8,3,10.62,-3.9,1,41.19,47.17
Sheki,2020-01-26,5.7,-3.3,1.2,0.0,0.0,0.0,19.6,47.2,42,1021.3,2,10.85,0.2,1,41.19,47.17
Sheki,2020-01-27,5.4,-1.9,2.3,0.0,0.0,0.0,11.9,24.1,57,1027.5,4,10.74,2.1,1,41.19,47.17
Sheki,2020-01-28,9.3,-3.6,3.2,0.0,0.0,0.0,9.6,20.9,48,1021.7,29,10.67,5.1,3,41.19,47.17
Sheki,2020-01-29,11.4,0.7,5.0,0.0,0.0,0.0,12.5,31.3,41,1015.0,44,10.9,6.5,3,41.19,47.17
Sheki,2020-01-30,10.7,2.5,5.5,0.0,0.0,0.0,18.5,44.3,55,1013.8,29,11.07,6.9,3,41.19,47.17
Sheki,2020-01-31,12.3,2.1,6.8,0.3,0.3,0.0,12.7,25.9,57,1007.4,89,9.52,9.4,51,41.19,47.17
Sheki,2020-02-01,3.2,0.6,1.6,10.2,8.9,0.91,8.8,24.8,90,1011.3,99,2.22,0.4,73,41.19,47.17
Sheki,2020-02-02,4.3,-1.3,1.7,0.4,0.4,0.0,9.2,24.8,85,1019.5,41,9.3,1.0,51,41.19,47.17
Sheki,2020-02-03,9.8,-1.3,3.7,0.0,0.0,0.0,17.2,41.4,63,1015.9,22,11.52,5.3,3,41.19,47.17
Sheki,2020-02-04,11.6,3.2,6.5,0.0,0.0,0.0,23.0,55.4,60,1006.3,41,10.84,6.6,3,41.19,47.17
Sheki,2020-02-05,9.1,-1.0,4.5,0.0,0.0,0.0,15.0,43.2,59,1015.0,34,11.56,5.7,3,41.19,47.17
Sheki,2020-02-06,15.6,4.9,10.2,0.0,0.0,0.0,19.3,48.2,48,1011.1,23,11.47,11.8,3,41.19,47.17
Sheki,2020-02-07,16.0,6.2,11.4,1.1,1.1,0.0,18.9,46.4,52,1004.4,38,7.79,13.6,53,41.19,47.17
Sheki,2020-02-08,7.7,-0.2,4.6,27.8,27.6,0.14,16.2,37.8,88,1004.3,88,6.45,5.8,71,41.19,47.17
Sheki,2020-02-09,-1.7,-7.1,-3.8,23.6,0.1,16.45,13.4,36.0,82,1017.4,91,5.97,-6.0,75,41.19,47.17
Sheki,2020-02-10,-1.5,-6.6,-3.7,0.2,0.0,0.14,9.3,16.9,62,1028.1,68,11.67,-4.7,71,41.19,47.17
Sheki,2020-02-11,0.6,-9.7,-4.0,0.0,0.0,0.0,9.5,20.2,51,1022.9,14,13.81,-3.7,2,41.19,47.17
Sheki,2020-02-12,3.4,-11.5,-2.6,0.0,0.0,0.0,18.2,45.7,46,1014.4,30,13.4,-2.4,3,41.19,47.17
Sheki,2020-02-13,7.6,-3.0,1.7,0.0,0.0,0.0,15.3,36.4,57,1018.8,55,11.59,3.0,3,41.19,47.17
Sheki,2020-02-14,5.2,-3.7,1.5,0.2,0.0,0.14,20.8,49.7,55,1026.1,42,13.0,-0.0,71,41.19,47.17
Sheki,2020-02-15,6.9,-4.4,1.5,0.0,0.0,0.0,8.0,21.6,46,1031.8,61,12.81,3.3,3,41.19,47.17
Sheki,2020-02-16,6.8,-0.6,2.9,0.0,0.0,0.0,10.2,20.9,53,1028.9,62,13.21,3.4,3,41.19,47.17
Sheki,2020-02-17,3.2,0.7,1.7,3.1,3.1,0.0,8.4,22.0,87,1034.6,99,4.3,0.5,51,41.19,47.17
Sheki,2020-02-18,7.0,-1.1,2.8,0.0,0.0,0.0,8.4,21.6,72,1032.7,25,13.5,4.1,2,41.19,47.17
Sheki,2020-02-19,10.8,-2.3,5.7,0.0,0.0,0.0,9.7,21.6,61,1022.1,44,14.11,8.1,3,41.19,47.17
Sheki,2020-02-20,8.2,3.4,6.1,0.3,0.3,0.0,7.1,12.2,68,1015.7,99,5.68,5.9,51,41.19,47.17
Sheki,2020-02-21,11.6,2.8,6.5,0.5,0.5,0.0,9.5,18.7,80,1017.1,57,12.05,9.6,51,41.19,47.17
Sheki,2020-02-22,8.4,1.0,5.2,0.0,0.0,0.0,10.1,24.8,88,1021.7,95,8.72,6.2,3,41.19,47.17
Sheki,2020-02-23,13.5,4.7,8.1,0.0,0.0,0.0,14.1,35.3,72,1019.9,45,13.79,10.4,3,41.19,47.17
Sheki,2020-02-24,14.1,2.7,7.5,0.0,0.0,0.0,11.9,26.6,68,1015.4,27,13.73,10.8,3,41.19,47.17
Sheki,2020-02-25,11.0,1.2,6.4,0.4,0.4,0.0,27.8,65.2,54,1009.2,34,10.12,7.1,51,41.19,47.17
Sheki,2020-02-26,7.0,-2.5,2.6,0.0,0.0,0.0,15.8,37.1,60,1022.6,17,13.21,3.9,2,41.19,47.17
Sheki,2020-02-27,11.6,-2.6,5.4,0.0,0.0,0.0,8.8,20.2,52,1020.1,14,16.01,8.2,2,41.19,47.17
Sheki,2020-02-28,16.7,7.2,10.7,0.0,0.0,0.0,19.6,49.7,37,1010.7,66,13.65,12.6,3,41.19,47.17
Sheki,2020-02-29,14.6,4.5,8.8,0.0,0.0,0.0,21.2,49.0,54,1012.8,44,14.46,10.8,3,41.19,47.17
Sheki,2020-03-01,12.8,2.3,7.3,1.2,1.2,0.0,21.4,47.2,71,1013.4,75,13.85,10.4,53,41.19,47.17
Sheki,2020-03-02,5.3,2.3,3.8,1.1,1.1,0.0,13.9,34.2,89,1022.5,100,5.09,3.2,51,41.19,47.17
Sheki,2020-03-03,12.6,0.5,6.3,0.0,0.0,0.0,11.6,30.6,79,1023.1,44,15.9,10.1,3,41.19,47.17
Sheki,2020-03-04,14.6,3.8,9.5,0.0,0.0,0.0,9.6,18.4,68,1023.2,15,16.6,13.2,3,41.19,47.17
Sheki,2020-03-05,17.2,5.1,12.0,0.0,0.0,0.0,8.6,17.3,56,1018.6,28,17.15,15.6,3,41.19,47.17
Sheki,2020-03-06,16.4,6.7,11.2,0.0,0.0,0.0,12.2,27.4,64,1018.3,61,15.96,14.6,3,41.19,47.17
Sheki,2020-03-07,14.5,4.3,10.2,0.0,0.0,0.0,10.4,26.6,60,1023.7,86,15.22,11.9,3,41.19,47.17
Sheki,2020-03-08,14.1,3.2,8.4,0.0,0.0,0.0,8.5,19.8,73,1026.2,37,17.59,13.3,2,41.19,47.17
Sheki,2020-03-09,14.5,1.9,8.3,0.0,0.0,0.0,7.4,18.7,72,1026.5,11,17.96,13.8,2,41.19,47.17
Sheki,2020-03-10,14.9,4.9,9.4,0.0,0.0,0.0,7.8,18.7,64,1021.2,5,18.46,13.6,2,41.19,47.17
Sheki,2020-03-11,18.6,3.6,11.8,0.0,0.0,0.0,12.5,31.7,56,1017.3,63,17.51,16.6,3,41.19,47.17
Sheki,2020-03-12,21.2,8.2,15.1,0.0,0.0,0.0,10.5,27.4,45,1016.2,51,18.04,19.1,3,41.19,47.17
