city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Shirvan,2020-01-01,12.0,1.8,6.3,0.0,0.0,0.0,11.1,24.1,84,1014.0,33,8.29,9.2,3
Shirvan,2020-01-02,12.1,1.8,6.4,0.0,0.0,0.0,17.7,30.6,79,1019.2,30,8.21,9.4,3
Shirvan,2020-01-03,7.2,5.4,6.0,1.0,1.0,0.0,15.3,28.1,77,1026.5,99,1.98,3.7,51
Shirvan,2020-01-04,8.1,5.2,6.5,6.6,6.6,0.0,13.0,22.7,87,1020.6,100,1.27,5.8,61
Shirvan,2020-01-05,8.2,4.6,5.6,7.8,7.8,0.0,13.8,26.3,93,1014.9,87,1.89,6.3,61
Shirvan,2020-01-06,10.1,2.5,5.7,0.0,0.0,0.0,7.4,14.8,88,1022.0,54,6.69,8.3,3
Shirvan,2020-01-07,9.2,1.4,4.1,0.0,0.0,0.0,9.4,19.8,92,1022.2,54,7.24,6.8,3
Shirvan,2020-01-08,11.0,0.0,4.7,0.0,0.0,0.0,15.2,26.3,86,1017.4,73,7.65,8.1,3
Shirvan,2020-01-09,8.9,2.8,5.9,0.0,0.0,0.0,15.2,26.3,84,1017.1,94,5.58,5.6,3
Shirvan,2020-01-10,8.6,2.8,5.1,0.2,0.2,0.0,14.7,25.6,89,1020.4,89,4.23,5.9,51
Shirvan,2020-01-11,9.0,3.9,5.7,0.1,0.1,0.0,12.9,23.4,80,1023.5,77,5.87,6.4,51
Shirvan,2020-01-12,9.1,0.9,4.6,0.0,0.0,0.0,15.1,30.2,82,1019.2,70,8.0,5.1,3
Shirvan,2020-01-13,8.0,2.8,5.6,0.7,0.7,0.0,7.1,14.8,84,1021.8,90,3.34,6.0,51
Shirvan,2020-01-14,9.6,0.4,4.4,0.0,0.0,0.0,13.1,22.7,84,1028.2,25,8.43,7.0,3
Shirvan,2020-01-15,9.2,1.5,4.9,0.0,0.0,0.0,29.5,50.8,80,1028.7,88,4.82,6.4,3
Shirvan,2020-01-16,8.1,3.7,5.5,0.2,0.2,0.0,27.1,51.1,75,1035.6,93,4.41,4.0,51
Shirvan,2020-01-17,5.3,3.2,4.3,3.0,3.0,0.0,14.4,26.3,88,1027.9,99,1.35,1.8,53
Shirvan,2020-01-18,8.4,-0.6,3.2,0.0,0.0,0.0,17.8,30.6,82,1022.4,64,8.96,5.2,3
Shirvan,2020-01-19,6.2,1.4,3.5,0.2,0.2,0.0,16.9,30.2,74,1026.6,96,3.78,1.9,51
Shirvan,2020-01-20,4.8,2.2,3.2,0.7,0.7,0.0,8.0,16.6,87,1029.8,93,2.88,1.9,51
Shirvan,2020-01-21,6.9,-0.9,3.0,0.0,0.0,0.0,10.7,24.1,81,1027.1,40,8.36,3.8,3
Shirvan,2020-01-22,9.9,-0.9,3.9,0.0,0.0,0.0,28.0,51.5,75,1022.1,16,10.32,4.1,3
Shirvan,2020-01-23,11.5,1.3,5.5,0.0,0.0,0.0,24.6,44.6,60,1010.9,10,10.41,6.0,3
Shirvan,2020-01-24,7.1,1.4,3.8,0.9,0.9,0.0,17.7,32.0,78,1019.6,91,4.55,3.5,51
Shirvan,2020-01-25,7.2,-1.8,1.9,0.0,0.0,0.0,20.3,38.2,70,1028.4,3,10.63,1.5,0
Shirvan,2020-01-26,11.4,-2.0,3.1,0.0,0.0,0.0,19.7,37.1,68,1021.4,1,10.88,6.1,0
