city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Shusha,2020-01-01,4.1,-1.3,1.6,0.4,0.3,0.07,7.1,21.2,74,1014.3,35,7.69,0.8,71
Shusha,2020-01-02,3.4,-2.9,0.2,5.9,1.0,3.43,7.6,24.8,84,1019.5,49,6.37,0.4,75
Shusha,2020-01-03,-0.7,-3.0,-1.8,5.6,0.2,3.78,7.2,15.8,94,1026.5,83,3.23,-3.8,73
Shusha,2020-01-04,-0.9,-3.0,-1.9,0.3,0.2,0.07,6.8,19.4,97,1021.0,100,3.94,-3.9,71
Shusha,2020-01-05,2.5,-3.8,-1.2,0.2,0.0,0.14,6.9,20.9,80,1015.0,60,9.51,-1.2,71
Shusha,2020-01-06,3.1,-3.2,-0.4,0.0,0.0,0.0,8.0,22.3,75,1021.2,4,9.57,-0.4,0
Shusha,2020-01-07,4.7,-3.2,1.4,0.0,0.0,0.0,6.4,19.4,53,1021.0,34,9.48,1.4,3
Shusha,2020-01-08,6.0,1.5,3.9,0.0,0.0,0.0,8.4,22.0,44,1015.9,88,7.74,1.8,3
Shusha,2020-01-09,2.4,-2.6,-0.2,0.1,0.0,0.07,8.4,21.2,65,1016.8,87,6.91,-1.4,71
Shusha,2020-01-10,0.7,-3.3,-1.5,0.7,0.0,0.49,9.2,24.8,86,1020.2,58,7.06,-2.9,71
Shusha,2020-01-11,1.6,-2.6,-1.2,2.6,0.0,1.82,11.8,27.7,84,1023.3,79,6.67,-2.0,73
Shusha,2020-01-12,3.7,-4.2,-0.8,0.0,0.0,0.0,6.4,17.3,77,1019.1,70,8.25,0.6,3
Shusha,2020-01-13,0.2,-5.8,-1.8,8.8,0.0,6.16,8.9,20.9,88,1022.2,85,4.71,-3.5,75
Shusha,2020-01-14,3.8,-6.8,-2.2,0.0,0.0,0.0,9.7,23.0,66,1027.3,13,10.21,0.1,2
Shusha,2020-01-15,2.5,-5.2,-1.0,0.0,0.0,0.0,8.7,23.8,46,1027.8,66,7.92,-1.5,3
Shusha,2020-01-16,-1.9,-4.4,-3.1,6.9,0.1,4.76,10.8,25.9,82,1035.7,95,3.07,-6.3,73
Shusha,2020-01-17,-0.8,-4.2,-2.8,0.8,0.0,0.56,8.4,20.2,84,1028.1,67,5.92,-4.3,71
Shusha,2020-01-18,1.7,-6.9,-2.8,0.0,0.0,0.0,8.4,22.7,69,1021.6,45,10.03,-2.5,3
Shusha,2020-01-19,-3.1,-4.6,-3.9,2.1,0.0,1.47,12.2,29.5,85,1026.4,98,3.02,-7.2,71
Shusha,2020-01-20,-2.1,-5.4,-4.1,0.2,0.0,0.14,7.2,20.9,88,1029.5,81,5.77,-5.8,71
Shusha,2020-01-21,0.4,-5.4,-3.2,0.0,0.0,0.0,7.6,20.9,80,1026.6,32,9.49,-3.2,3
Shusha,2020-01-22,0.9,-8.5,-3.1,0.0,0.0,0.0,6.9,21.6,67,1022.7,10,10.77,-2.9,2
Shusha,2020-01-23,3.7,-6.3,-2.0,0.0,0.0,0.0,7.4,22.7,59,1011.6,21,10.99,-0.0,3
Shusha,2020-01-24,-1.5,-5.2,-3.1,2.1,0.0,1.47,10.6,25.9,67,1019.4,87,3.65,-5.5,73
Shusha,2020-01-25,-1.3,-8.3,-5.0,0.0,0.0,0.0,7.2,21.6,65,1028.5,16,10.98,-5.3,2
Shusha,2020-01-26,6.3,-4.8,-0.4,0.0,0.0,0.0,9.6,23.0,39,1020.6,11,11.47,1.8,2
Shusha,2020-01-27,2.9,-7.3,-2.7,0.0,0.0,0.0,12.2,29.2,49,1026.6,3,11.34,-1.2,2
Shusha,2020-01-28,5.8,-3.3,1.2,0.0,0.0,0.0,7.1,21.2,36,1020.2,38,10.71,1.5,3
Shusha,2020-01-29,7.5,-0.2,4.1,0.0,0.0,0.0,7.1,19.8,31,1014.2,74,9.82,3.2,3
Shusha,2020-01-30,7.7,-2.4,1.9,0.0,0.0,0.0,8.2,22.0,48,1013.7,9,11.65,4.0,1
Shusha,2020-01-31,9.4,-3.2,2.6,0.0,0.0,0.0,9.2,23.8,60,1007.1,76,10.5,6.4,3
Shusha,2020-02-01,3.0,-2.5,-1.0,7.7,0.2,5.25,10.4,26.6,86,1011.1,98,2.98,0.1,73
Shusha,2020-02-02,2.9,-5.2,-1.4,0.3,0.0,0.21,11.7,27.0,74,1018.9,38,11.52,-0.7,71
Shusha,2020-02-03,7.9,-4.2,0.9,0.0,0.0,0.0,9.4,24.8,50,1015.5,10,12.31,4.0,2
Shusha,2020-02-04,7.5,-1.8,2.3,0.0,0.0,0.0,15.8,37.4,51,1006.1,55,8.82,3.6,3
Shusha,2020-02-05,6.1,-3.9,1.4,0.0,0.0,0.0,9.7,25.2,70,1014.4,43,11.93,2.7,3
Shusha,2020-02-06,12.7,1.0,5.5,0.0,0.0,0.0,13.0,32.0,57,1011.2,43,12.13,9.6,3
Shusha,2020-02-07,12.7,1.1,6.5,0.0,0.0,0.0,15.1,41.0,51,1004.4,25,10.5,8.2,3
Shusha,2020-02-08,8.7,-1.6,2.6,4.3,2.2,1.47,9.8,43.9,80,1003.1,71,9.66,5.4,73
Shusha,2020-02-09,-2.3,-9.0,-6.3,17.5,0.0,12.39,10.0,36.4,85,1016.8,100,4.49,-6.3,75
Shusha,2020-02-10,-7.4,-10.2,-8.7,1.8,0.0,1.33,7.5,21.6,59,1028.4,98,6.45,-11.9,71
Shusha,2020-02-11,-2.2,-10.1,-6.8,0.0,0.0,0.0,13.2,29.5,50,1022.1,41,13.41,-5.8,3
Shusha,2020-02-12,1.6,-9.4,-4.0,0.0,0.0,0.0,13.0,29.2,37,1013.7,25,13.59,-1.9,3
Shusha,2020-02-13,3.2,-3.2,-0.3,0.0,0.0,0.0,15.6,40.0,47,1018.8,73,8.13,-0.6,3
