city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Siyazan,2020-01-01,9.1,0.8,5.2,0.0,0.0,0.0,7.3,16.9,82,1013.6,32,8.15,7.3,3,41.08,49.11
Siyazan,2020-01-02,7.4,4.4,6.0,0.9,0.9,0.0,18.5,38.9,81,1020.9,98,1.98,3.9,51,41.08,49.11
Siyazan,2020-01-03,5.1,3.7,4.3,2.6,2.6,0.0,13.9,31.7,86,1027.4,97,1.68,2.7,51,41.08,49.11
Siyazan,2020-01-04,9.8,2.6,5.1,0.2,0.2,0.0,23.3,48.6,84,1019.6,47,6.15,5.1,51,41.08,49.11
Siyazan,2020-01-05,7.3,2.7,5.1,0.9,0.9,0.0,10.3,24.8,81,1015.5,72,4.02,5.2,51,41.08,49.11
Siyazan,2020-01-06,8.4,0.9,4.6,0.0,0.0,0.0,7.6,19.8,82,1022.0,44,7.36,5.9,3,41.08,49.11
Siyazan,2020-01-07,8.4,2.0,4.8,0.0,0.0,0.0,11.2,23.0,71,1019.5,54,7.2,5.2,3,41.08,49.11
Siyazan,2020-01-08,9.6,0.6,5.2,0.1,0.1,0.0,7.1,16.6,71,1017.5,61,7.01,7.6,51,41.08,49.11
Siyazan,2020-01-09,9.4,5.2,6.8,1.2,1.2,0.0,19.5,42.1,81,1017.5,100,3.39,4.9,51,41.08,49.11
Siyazan,2020-01-10,5.9,3.6,4.8,3.8,3.8,0.0,14.8,33.8,90,1021.3,98,2.33,3.4,51,41.08,49.11
Siyazan,2020-01-11,5.2,3.2,3.8,4.1,4.1,0.0,9.1,18.4,90,1023.9,97,1.78,2.9,53,41.08,49.11
Siyazan,2020-01-12,8.4,-0.3,3.6,0.0,0.0,0.0,7.9,19.1,83,1017.1,61,8.04,5.5,3,41.08,49.11
Siyazan,2020-01-13,5.6,2.3,4.2,3.5,3.5,0.0,22.4,47.2,84,1023.3,91,1.67,1.9,53,41.08,49.11
Siyazan,2020-01-14,8.2,0.3,3.7,0.0,0.0,0.0,6.6,14.8,79,1028.2,54,8.02,5.9,3,41.08,49.11
