city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Tartar,2020-01-01,12.3,1.5,6.3,0.0,0.0,0.0,7.3,14.0,74,1014.1,38,7.95,9.8,3
Tartar,2020-01-02,11.6,2.7,6.7,0.1,0.1,0.0,10.7,15.8,70,1019.1,44,6.27,9.2,51
Tartar,2020-01-03,6.4,2.8,5.1,0.8,0.8,0.0,11.5,23.0,87,1026.3,88,2.79,4.1,51
Tartar,2020-01-04,6.7,3.0,4.8,0.3,0.3,0.0,11.2,21.2,84,1021.4,99,1.61,4.2,51
Tartar,2020-01-05,10.1,0.2,4.8,0.0,0.0,0.0,9.9,17.6,70,1015.1,36,8.79,7.2,3
Tartar,2020-01-06,9.5,-0.9,3.8,0.0,0.0,0.0,9.2,16.6,75,1022.0,0,8.97,7.0,0
Tartar,2020-01-07,8.6,-1.5,3.2,0.0,0.0,0.0,8.6,14.4,75,1022.3,23,8.78,6.7,2
Tartar,2020-01-08,7.7,0.9,4.5,0.0,0.0,0.0,8.4,14.8,58,1017.4,65,7.34,4.4,3
Tartar,2020-01-09,8.6,0.3,3.7,0.0,0.0,0.0,9.2,15.8,66,1017.4,77,6.49,6.0,3
Tartar,2020-01-10,9.4,0.2,4.0,0.0,0.0,0.0,9.8,14.0,68,1020.1,23,8.56,6.9,2
Tartar,2020-01-11,8.4,-1.0,2.8,0.0,0.0,0.0,9.7,13.3,78,1023.3,27,7.91,6.1,3
Tartar,2020-01-12,9.2,-1.2,3.9,0.0,0.0,0.0,8.6,14.8,66,1019.3,62,7.68,6.7,3
Tartar,2020-01-13,10.4,0.6,5.2,0.4,0.4,0.0,18.1,33.8,66,1021.5,71,6.57,6.5,51
Tartar,2020-01-14,9.4,-0.9,3.4,0.0,0.0,0.0,10.5,16.2,70,1028.1,0,9.62,6.6,0
Tartar,2020-01-15,6.6,-1.9,2.3,0.0,0.0,0.0,11.0,20.2,76,1029.0,76,7.56,3.6,3
Tartar,2020-01-16,5.0,2.0,3.4,8.6,8.6,0.0,14.2,27.7,89,1035.7,98,2.95,1.6,53
Tartar,2020-01-17,5.4,-1.6,2.5,2.4,2.4,0.0,12.5,25.6,86,1028.8,59,4.32,1.9,51
Tartar,2020-01-18,8.6,-2.2,2.0,0.0,0.0,0.0,9.6,22.0,68,1022.1,28,10.05,4.7,3
Tartar,2020-01-19,4.3,-0.1,2.1,0.3,0.3,0.0,14.3,29.2,85,1026.5,93,3.23,0.1,51
