city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Tbilisi,2020-01-01,8.2,1.8,4.5,0.2,0.2,0.0,18.4,45.7,85,1015.5,43,6.51,4.1,51,41.71,44.78
Tbilisi,2020-01-02,7.9,2.2,4.2,0.0,0.0,0.0,24.9,63.7,79,1020.5,57,7.05,2.6,3,41.71,44.78
Tbilisi,2020-01-03,6.5,0.2,2.7,0.0,0.0,0.0,11.5,40.7,79,1026.2,58,6.97,3.9,3,41.71,44.78
Tbilisi,2020-01-04,3.8,0.1,2.0,1.7,0.0,1.19,6.3,17.6,92,1022.1,88,2.53,0.9,71,41.71,44.78
Tbilisi,2020-01-05,7.5,-3.5,0.8,0.0,0.0,0.0,13.9,36.7,80,1015.8,35,8.3,3.5,3,41.71,44.78
Tbilisi,2020-01-06,7.0,-1.5,2.4,0.0,0.0,0.0,7.6,22.0,69,1021.9,4,8.69,3.3,2,41.71,44.78
Tbilisi,2020-01-07,7.7,1.8,4.0,0.0,0.0,0.0,7.1,21.6,63,1022.8,25,8.02,4.1,3,41.71,44.78
Tbilisi,2020-01-08,9.5,-1.2,3.1,0.0,0.0,0.0,7.9,16.9,64,1017.0,30,7.91,6.3,3,41.71,44.78
Tbilisi,2020-01-09,8.6,-2.0,2.1,0.0,0.0,0.0,26.7,65.5,73,1017.8,12,8.36,2.8,1,41.71,44.78
Tbilisi,2020-01-10,7.0,1.1,3.3,0.0,0.0,0.0,24.0,62.3,74,1020.5,59,5.82,1.3,3,41.71,44.78
Tbilisi,2020-01-11,6.6,-0.8,2.5,0.0,0.0,0.0,25.5,64.1,76,1023.6,64,8.36,0.7,3,41.71,44.78
Tbilisi,2020-01-12,7.5,-0.4,2.2,0.1,0.1,0.0,21.4,56.2,80,1020.3,76,4.51,2.8,51,41.71,44.78
Tbilisi,2020-01-13,6.5,1.0,3.1,0.0,0.0,0.0,26.1,67.7,71,1023.1,7,9.02,0.1,1,41.71,44.78
Tbilisi,2020-01-14,8.4,-1.2,2.9,0.0,0.0,0.0,13.0,43.6,67,1028.5,23,9.18,4.8,3,41.71,44.78
Tbilisi,2020-01-15,8.5,-0.5,3.2,0.2,0.0,0.14,21.7,56.2,64,1028.4,72,7.17,3.1,71,41.71,44.78
Tbilisi,2020-01-16,2.9,-0.2,1.3,3.0,0.1,2.03,6.6,21.2,89,1035.9,92,2.86,-0.1,73,41.71,44.78
Tbilisi,2020-01-17,4.1,-3.3,0.8,1.6,0.0,1.12,7.4,19.1,87,1029.6,68,5.63,1.0,73,41.71,44.78
Tbilisi,2020-01-18,7.4,-2.8,0.9,0.0,0.0,0.0,18.1,44.6,63,1022.4,2,9.67,2.0,0,41.71,44.78
Tbilisi,2020-01-19,4.2,-0.9,0.7,0.0,0.0,0.0,10.7,28.4,75,1026.8,67,7.21,-0.1,3,41.71,44.78
Tbilisi,2020-01-20,3.0,-2.6,0.6,0.0,0.0,0.0,8.2,23.0,81,1029.9,66,6.83,-0.7,3,41.71,44.78
Tbilisi,2020-01-21,8.0,-3.5,2.2,0.0,0.0,0.0,25.2,64.4,73,1026.6,57,8.08,2.0,3,41.71,44.78
Tbilisi,2020-01-22,5.2,0.8,2.4,0.0,0.0,0.0,26.2,69.5,67,1024.1,71,8.51,-1.1,3,41.71,44.78
Tbilisi,2020-01-23,7.2,0.1,2.3,0.0,0.0,0.0,25.6,66.6,75,1013.9,42,9.17,1.2,3,41.71,44.78
Tbilisi,2020-01-24,3.8,-1.4,0.9,0.5,0.0,0.35,28.0,71.3,62,1021.6,48,8.85,-2.9,73,41.71,44.78
Tbilisi,2020-01-25,4.4,-2.3,0.2,0.0,0.0,0.0,19.1,58.7,62,1029.0,39,10.14,-1.3,3,41.71,44.78
Tbilisi,2020-01-26,8.9,-1.1,3.4,0.0,0.0,0.0,26.2,74.5,45,1023.0,14,10.61,2.1,3,41.71,44.78
Tbilisi,2020-01-27,8.6,-0.9,3.5,0.0,0.0,0.0,17.9,55.8,59,1027.3,9,10.5,5.6,3,41.71,44.78
Tbilisi,2020-01-28,9.5,1.7,4.7,0.0,0.0,0.0,6.7,19.8,49,1022.1,49,10.33,5.5,3,41.71,44.78
Tbilisi,2020-01-29,12.1,0.5,5.1,0.0,0.0,0.0,12.8,34.2,48,1015.8,55,10.48,7.4,3,41.71,44.78
Tbilisi,2020-01-30,11.8,0.9,5.3,0.0,0.0,0.0,9.3,26.3,62,1015.0,39,10.13,8.4,3,41.71,44.78
Tbilisi,2020-01-31,11.2,3.0,6.2,1.2,1.0,0.14,28.7,75.2,61,1009.7,91,5.23,8.5,71,41.71,44.78
Tbilisi,2020-02-01,4.4,2.2,3.1,3.8,0.0,2.66,27.3,71.6,68,1012.1,95,3.48,-1.3,73,41.71,44.78
Tbilisi,2020-02-02,8.7,-0.0,3.5,0.0,0.0,0.0,23.1,59.8,68,1019.8,34,11.03,3.1,2,41.71,44.78
Tbilisi,2020-02-03,11.1,0.3,4.7,0.0,0.0,0.0,14.2,36.0,76,1017.3,34,9.5,7.3,3,41.71,44.78
Tbilisi,2020-02-04,7.1,1.6,4.1,0.6,0.6,0.0,20.9,61.6,80,1009.4,55,4.63,3.3,51,41.71,44.78
Tbilisi,2020-02-05,8.9,-0.0,4.5,0.0,0.0,0.0,14.8,50.8,64,1015.9,56,9.79,5.3,3,41.71,44.78
Tbilisi,2020-02-06,16.1,1.1,8.5,0.0,0.0,0.0,12.8,33.5,58,1012.6,25,11.01,12.8,3,41.71,44.78
Tbilisi,2020-02-07,10.3,3.7,7.1,2.3,2.3,0.0,26.5,72.0,69,1006.9,74,5.86,7.8,53,41.71,44.78
Tbilisi,2020-02-08,5.6,-2.4,1.5,2.4,0.0,1.68,36.9,94.0,70,1007.3,87,7.79,-1.1,73,41.71,44.78
Tbilisi,2020-02-09,0.5,-4.5,-2.3,0.1,0.0,0.14,32.0,90.4,43,1018.3,66,11.27,-7.1,71,41.71,44.78
Tbilisi,2020-02-10,2.0,-5.7,-2.8,0.0,0.0,0.0,19.9,50.0,46,1028.3,7,13.01,-2.5,1,41.71,44.78
Tbilisi,2020-02-11,3.1,-6.0,-1.9,0.0,0.0,0.0,12.5,34.6,49,1022.8,0,13.24,-1.7,0,41.71,44.78
Tbilisi,2020-02-12,7.3,-4.5,0.3,0.4,0.0,0.28,15.0,43.9,51,1015.7,50,11.74,3.5,71,41.71,44.78
Tbilisi,2020-02-13,6.6,-1.6,2.1,2.1,0.2,1.33,16.3,47.9,78,1020.7,87,7.56,3.0,73,41.71,44.78
Tbilisi,2020-02-14,5.2,-1.4,1.6,0.5,0.0,0.35,28.6,72.7,67,1028.4,13,13.44,-1.6,71,41.71,44.78
Tbilisi,2020-02-15,5.2,-3.7,0.8,0.0,0.0,0.0,10.1,29.5,61,1032.0,64,10.52,0.8,3,41.71,44.78
Tbilisi,2020-02-16,8.9,0.5,4.0,0.0,0.0,0.0,8.5,22.0,45,1028.6,42,13.59,5.0,3,41.71,44.78
Tbilisi,2020-02-17,5.3,0.3,2.6,0.1,0.0,0.07,12.0,33.5,63,1034.1,70,4.27,1.2,71,41.71,44.78
Tbilisi,2020-02-18,7.7,1.3,3.7,0.0,0.0,0.0,9.7,28.1,70,1033.0,15,13.62,4.0,1,41.71,44.78
Tbilisi,2020-02-19,12.1,2.9,6.8,0.0,0.0,0.0,7.4,23.0,59,1022.2,41,13.3,8.8,3,41.71,44.78
Tbilisi,2020-02-20,13.0,2.8,7.2,0.0,0.0,0.0,14.9,39.2,63,1015.1,90,7.89,9.6,3,41.71,44.78
Tbilisi,2020-02-21,12.2,4.4,7.7,0.0,0.0,0.0,6.6,22.3,72,1016.9,61,12.19,9.6,3,41.71,44.78
Tbilisi,2020-02-22,11.8,3.7,8.1,0.0,0.0,0.0,9.1,25.9,73,1020.8,89,10.03,9.1,3,41.71,44.78
Tbilisi,2020-02-23,11.4,3.3,6.8,1.0,1.0,0.0,24.3,60.8,76,1021.8,66,12.54,6.2,53,41.71,44.78
Tbilisi,2020-02-24,13.4,2.0,7.6,0.0,0.0,0.0,18.0,51.1,71,1016.2,25,13.81,10.4,3,41.71,44.78
