city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Tovuz,2020-01-01,8.4,-1.0,3.4,0.2,0.2,0.0,7.2,18.0,76,1015.0,29,8.37,6.3,51
Tovuz,2020-01-02,8.1,-0.2,3.4,0.3,0.3,0.0,5.9,16.2,75,1020.0,36,7.76,5.3,51
Tovuz,2020-01-03,5.3,1.2,2.9,0.3,0.3,0.0,5.6,12.2,78,1026.0,89,5.02,2.5,51
Tovuz,2020-01-04,3.0,0.3,1.8,1.8,1.3,0.35,6.9,16.6,87,1021.9,98,1.97,0.2,71
Tovuz,2020-01-05,7.1,-2.2,1.1,0.0,0.0,0.0,7.2,19.1,76,1015.7,31,8.78,4.0,3
Tovuz,2020-01-06,5.7,-1.9,1.1,0.0,0.0,0.0,5.1,16.2,68,1021.9,0,8.95,2.8,0
Tovuz,2020-01-07,6.2,-2.1,1.0,0.0,0.0,0.0,7.1,17.3,68,1022.8,26,8.8,3.6,3
Tovuz,2020-01-08,7.8,-2.0,2.1,0.0,0.0,0.0,6.1,18.0,60,1017.0,45,7.96,4.6,3
Tovuz,2020-01-09,8.1,-2.7,1.2,0.0,0.0,0.0,7.7,17.3,62,1017.6,78,7.92,4.6,3
Tovuz,2020-01-10,6.8,-2.6,1.3,0.0,0.0,0.0,7.6,19.4,70,1020.3,17,9.15,3.4,3
Tovuz,2020-01-11,6.3,-3.3,0.8,0.0,0.0,0.0,8.4,17.6,70,1023.4,25,9.12,3.0,3
Tovuz,2020-01-12,4.9,-2.4,0.9,0.0,0.0,0.0,13.8,27.7,61,1020.1,78,6.77,1.6,3
Tovuz,2020-01-13,7.2,-1.6,3.2,0.4,0.4,0.0,12.9,30.2,62,1022.4,55,8.73,3.2,51
Tovuz,2020-01-14,6.8,-3.3,1.0,0.0,0.0,0.0,7.4,18.0,59,1028.4,8,9.63,3.9,3
Tovuz,2020-01-15,8.1,-2.2,2.1,0.0,0.0,0.0,8.4,15.8,47,1028.4,75,7.48,4.5,3
Tovuz,2020-01-16,2.5,-0.1,1.2,3.3,1.1,1.54,7.3,18.7,86,1035.6,99,3.16,-0.5,73
Tovuz,2020-01-17,2.9,-3.2,0.3,0.6,0.1,0.35,7.8,18.0,87,1029.6,63,5.81,-0.3,71
Tovuz,2020-01-18,6.1,-4.2,-0.5,0.0,0.0,0.0,7.3,20.9,52,1022.2,48,9.66,2.7,3
Tovuz,2020-01-19,0.9,-3.0,-0.4,1.4,0.0,0.98,6.3,14.4,80,1026.8,92,2.12,-2.0,71
Tovuz,2020-01-20,2.0,-1.2,0.0,0.1,0.0,0.07,7.3,21.2,84,1029.9,56,5.93,-1.5,71
Tovuz,2020-01-21,6.2,-2.8,1.0,0.0,0.0,0.0,7.9,19.4,69,1026.5,28,8.52,2.8,2
Tovuz,2020-01-22,6.6,-3.2,0.7,0.0,0.0,0.0,10.6,27.0,61,1023.5,24,10.33,2.3,3
