city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Turkmenbashi,2020-01-01,8.6,5.6,7.1,0.0,0.0,0.0,18.8,32.8,82,1015.0,44,7.05,5.2,3,40.05,52.99
Turkmenbashi,2020-01-02,10.2,3.6,7.6,1.3,1.3,0.0,15.5,25.6,82,1018.2,47,6.88,8.1,53,40.05,52.99
Turkmenbashi,2020-01-03,8.1,3.3,6.2,0.0,0.0,0.0,23.3,39.6,80,1024.7,62,6.59,4.5,3,40.05,52.99
Turkmenbashi,2020-01-04,7.3,1.0,4.1,0.0,0.0,0.0,26.1,42.5,66,1022.1,66,7.2,3.9,3,40.05,52.99
Turkmenbashi,2020-01-05,7.3,1.1,4.3,0.0,0.0,0.0,22.7,39.6,62,1014.8,82,7.02,4.5,3,40.05,52.99
Turkmenbashi,2020-01-06,6.3,4.3,5.3,0.2,0.2,0.0,18.2,29.9,77,1021.9,70,5.18,2.5,51,40.05,52.99
Turkmenbashi,2020-01-07,8.5,3.3,5.7,0.0,0.0,0.0,22.6,38.5,77,1024.3,38,8.1,4.0,3,40.05,52.99
Turkmenbashi,2020-01-08,9.2,1.9,5.5,0.0,0.0,0.0,21.1,34.6,66,1018.4,34,8.92,6.6,3,40.05,52.99
Turkmenbashi,2020-01-09,7.8,1.7,4.6,0.0,0.0,0.0,16.9,29.2,75,1014.6,92,3.97,4.5,3,40.05,52.99
Turkmenbashi,2020-01-10,8.6,2.0,5.1,0.1,0.1,0.0,19.1,33.8,82,1018.6,75,4.98,4.7,51,40.05,52.99
Turkmenbashi,2020-01-11,7.2,2.6,4.7,0.0,0.0,0.0,13.4,22.3,83,1022.4,80,6.12,4.3,3,40.05,52.99
Turkmenbashi,2020-01-12,8.1,3.2,5.3,2.5,2.5,0.0,25.5,41.0,86,1020.4,85,4.66,3.6,53,40.05,52.99
Turkmenbashi,2020-01-13,7.6,5.0,6.1,0.9,0.9,0.0,20.2,32.4,71,1019.9,97,3.03,4.9,51,40.05,52.99
