city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Ujar,2020-01-01,11.2,-0.4,4.2,0.0,0.0,0.0,9.8,22.7,87,1014.0,35,8.0,8.4,3,40.52,47.65
Ujar,2020-01-02,9.7,0.4,5.0,0.5,0.5,0.0,11.9,16.2,84,1019.0,53,6.5,7.7,51,40.52,47.65
Ujar,2020-01-03,5.8,4.5,5.2,2.7,2.7,0.0,7.6,16.9,94,1026.4,95,1.69,4.1,51,40.52,47.65
Ujar,2020-01-04,6.1,3.5,4.7,0.8,0.8,0.0,12.1,22.3,92,1021.1,100,1.61,3.5,51,40.52,47.65
Ujar,2020-01-05,10.2,0.2,4.4,0.0,0.0,0.0,10.7,22.3,82,1014.8,38,8.63,7.9,3,40.52,47.65
Ujar,2020-01-06,9.4,-1.3,3.3,0.0,0.0,0.0,9.7,15.5,89,1021.9,25,7.66,7.3,3,40.52,47.65
Ujar,2020-01-07,9.5,-2.2,2.2,0.0,0.0,0.0,10.5,18.4,82,1022.1,23,8.59,6.5,3,40.52,47.65
Ujar,2020-01-08,6.8,-2.2,1.0,0.0,0.0,0.0,9.5,13.0,75,1017.5,62,7.09,3.9,3,40.52,47.65
Ujar,2020-01-09,8.9,-1.1,3.1,0.0,0.0,0.0,10.4,19.1,80,1017.1,80,5.97,6.3,3,40.52,47.65
Ujar,2020-01-10,7.1,-3.0,2.0,0.0,0.0,0.0,10.0,23.8,90,1020.2,26,8.51,4.2,3,40.52,47.65
Ujar,2020-01-11,7.0,0.4,3.1,0.0,0.0,0.0,10.7,14.8,90,1023.4,67,4.79,4.7,3,40.52,47.65
Ujar,2020-01-12,8.1,-1.6,2.8,0.0,0.0,0.0,9.5,24.5,79,1019.2,62,7.48,4.8,3,40.52,47.65
Ujar,2020-01-13,8.2,0.6,3.2,0.0,0.0,0.0,8.8,15.5,84,1021.5,78,5.05,5.7,3,40.52,47.65
Ujar,2020-01-14,10.2,-2.4,3.2,0.0,0.0,0.0,10.1,21.2,75,1028.0,6,9.46,6.8,1,40.52,47.65
Ujar,2020-01-15,7.3,-1.5,2.0,0.0,0.0,0.0,8.7,19.1,86,1029.0,81,5.93,4.8,3,40.52,47.65
Ujar,2020-01-16,5.8,2.3,4.0,3.9,3.9,0.0,10.8,24.1,91,1035.8,100,2.58,3.1,51,40.52,47.65
Ujar,2020-01-17,6.0,1.5,3.5,1.6,1.6,0.0,15.6,31.3,89,1028.3,68,3.7,2.7,51,40.52,47.65
Ujar,2020-01-18,7.4,-2.5,1.7,0.0,0.0,0.0,14.0,26.3,79,1022.2,38,9.72,4.0,3,40.52,47.65
Ujar,2020-01-19,3.9,-1.6,1.9,2.7,2.7,0.0,8.9,14.4,89,1026.7,90,2.1,1.4,53,40.52,47.65
Ujar,2020-01-20,5.5,2.0,3.2,1.3,1.3,0.0,9.8,22.0,84,1029.7,90,4.39,3.0,51,40.52,47.65
Ujar,2020-01-21,7.2,-0.2,2.7,0.0,0.0,0.0,7.9,14.4,80,1026.9,35,8.28,4.6,2,40.52,47.65
Ujar,2020-01-22,10.4,-1.9,3.7,0.0,0.0,0.0,23.5,48.2,69,1022.1,24,10.22,4.8,3,40.52,47.65
Ujar,2020-01-23,11.3,1.4,5.8,0.0,0.0,0.0,24.7,50.8,57,1010.7,10,10.25,5.7,3,40.52,47.65
Ujar,2020-01-24,8.6,-1.1,5.2,0.0,0.0,0.0,19.0,38.5,47,1018.5,86,4.71,3.6,3,40.52,47.65
Ujar,2020-01-25,6.6,-1.8,1.1,0.0,0.0,0.0,17.7,36.4,72,1028.3,11,10.47,1.2,2,40.52,47.65
Ujar,2020-01-26,12.2,-3.4,2.4,0.0,0.0,0.0,16.3,34.2,58,1021.1,1,10.81,7.9,0,40.52,47.65
Ujar,2020-01-27,9.9,-3.2,2.1,0.0,0.0,0.0,9.7,19.8,73,1027.3,0,10.66,7.2,0,40.52,47.65
