city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Van,2020-01-01,1.2,-5.6,-1.4,3.6,0.0,2.52,8.8,19.4,81,1016.6,71,6.25,-2.2,73
Van,2020-01-02,0.1,-7.1,-3.4,0.0,0.0,0.0,9.9,18.0,80,1021.0,66,6.7,-3.3,3
Van,2020-01-03,1.1,-9.1,-3.0,0.0,0.0,0.07,10.9,18.0,78,1021.9,63,8.24,-2.0,71
Van,2020-01-04,-0.3,-9.6,-3.4,0.5,0.0,0.42,10.9,18.4,77,1015.9,93,6.98,-3.5,71
Van,2020-01-05,-0.6,-9.1,-4.4,1.0,0.0,0.7,10.1,19.4,83,1015.8,68,9.87,-3.8,73
Van,2020-01-06,-0.8,-9.9,-4.1,0.0,0.0,0.0,8.6,15.5,78,1023.0,40,10.33,-4.3,3
Van,2020-01-07,1.6,-6.7,-2.3,0.0,0.0,0.0,9.6,20.2,71,1024.0,23,9.97,-2.1,2
Van,2020-01-08,1.4,-4.7,-2.0,1.5,0.0,1.05,9.6,23.4,68,1017.7,83,5.22,-2.3,73
Van,2020-01-09,1.3,-4.8,-1.9,1.8,0.0,1.26,9.2,23.0,83,1015.5,94,7.61,-2.8,73
Van,2020-01-10,1.2,-5.7,-2.5,0.3,0.0,0.21,10.5,25.2,80,1017.5,58,9.94,-3.0,71
Van,2020-01-11,0.9,-6.0,-3.3,0.0,0.0,0.0,13.3,29.5,71,1022.3,8,10.53,-3.6,3
Van,2020-01-12,1.2,-6.1,-2.4,1.0,0.0,0.7,7.7,20.2,65,1021.7,75,8.61,-2.7,73
Van,2020-01-13,-1.4,-9.6,-4.0,14.1,0.0,9.87,15.7,30.2,86,1021.2,75,4.9,-4.5,75
Van,2020-01-14,-3.5,-13.9,-8.0,0.0,0.0,0.0,10.1,18.0,88,1031.2,37,10.97,-6.6,3
Van,2020-01-15,-1.9,-11.1,-6.7,0.0,0.0,0.0,9.7,16.2,78,1029.0,25,11.51,-5.6,3
Van,2020-01-16,-2.8,-11.3,-7.3,0.0,0.0,0.0,9.4,14.8,82,1029.9,11,11.38,-6.1,3
Van,2020-01-17,-2.7,-11.6,-5.5,2.9,0.0,2.03,9.5,15.1,83,1025.8,88,5.63,-5.5,73
Van,2020-01-18,-1.5,-5.5,-3.0,2.7,0.0,1.96,4.8,8.3,95,1018.2,91,8.42,-4.4,73
Van,2020-01-19,-0.2,-6.0,-3.4,1.0,0.0,0.7,9.4,15.1,87,1018.7,75,11.11,-2.9,71
Van,2020-01-20,-1.2,-7.8,-4.6,0.4,0.0,0.28,11.3,20.2,86,1023.9,90,9.16,-4.5,71
Van,2020-01-21,-2.0,-11.5,-6.0,0.0,0.0,0.0,11.5,19.8,91,1023.1,57,11.34,-5.1,3
Van,2020-01-22,-5.1,-14.2,-9.5,0.0,0.0,0.0,10.8,20.2,88,1024.1,34,11.75,-8.4,3
Van,2020-01-23,-2.5,-11.7,-7.0,0.5,0.0,0.35,9.4,16.2,83,1018.3,59,10.86,-6.1,71
Van,2020-01-24,-3.7,-6.7,-5.0,15.1,0.1,10.5,16.6,31.0,84,1020.3,89,5.36,-7.1,75
Van,2020-01-25,-6.0,-13.4,-9.2,0.0,0.0,0.0,8.8,14.8,80,1030.9,21,12.46,-9.9,3
Van,2020-01-26,-2.5,-13.9,-8.0,0.0,0.0,0.0,10.6,16.2,79,1029.5,22,11.87,-6.1,3
Van,2020-01-27,-1.3,-11.8,-6.6,0.0,0.0,0.0,10.0,15.8,77,1029.2,13,12.56,-5.0,1
Van,2020-01-28,-0.6,-8.6,-4.0,0.0,0.0,0.0,8.3,12.2,72,1024.9,76,12.43,-3.9,3
Van,2020-01-29,-1.4,-7.7,-4.7,0.5,0.0,0.35,11.4,16.6,74,1021.1,80,8.64,-4.5,71
Van,2020-01-30,0.9,-6.7,-3.6,0.0,0.0,0.0,16.1,28.1,76,1020.8,70,11.42,-3.1,3
Van,2020-01-31,2.9,-4.8,-0.7,4.8,0.0,3.36,15.4,45.0,75,1008.9,92,9.15,-0.4,75
