city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Yardimli,2020-01-01,8.4,0.0,3.8,0.2,0.2,0.0,9.3,23.4,75,1014.2,28,8.92,5.2,51
Yardimli,2020-01-02,7.1,-0.4,3.5,3.6,3.6,0.0,11.1,24.5,84,1019.7,42,8.63,4.0,55
Yardimli,2020-01-03,2.2,0.7,1.4,2.9,2.9,0.0,11.1,24.1,98,1026.8,100,1.83,-1.0,51
Yardimli,2020-01-04,1.9,1.1,1.6,8.5,5.6,2.03,9.7,23.8,96,1020.9,100,1.25,-0.5,73
Yardimli,2020-01-05,5.3,-0.6,2.0,2.3,1.2,0.77,11.2,25.2,90,1015.1,70,4.23,2.8,73
Yardimli,2020-01-06,5.7,-1.8,1.0,0.0,0.0,0.0,8.5,20.9,79,1021.9,7,9.4,2.7,1
Yardimli,2020-01-07,6.9,-1.3,3.0,0.2,0.2,0.0,7.6,19.4,65,1021.7,21,9.31,3.8,51
Yardimli,2020-01-08,8.6,-0.6,3.2,0.6,0.6,0.0,8.2,21.2,69,1016.7,56,9.19,5.1,51
Yardimli,2020-01-09,3.4,1.2,2.0,20.6,14.1,4.55,6.9,13.7,96,1017.6,100,1.6,1.5,75
Yardimli,2020-01-10,2.6,-0.9,0.9,0.0,0.0,0.0,9.7,22.0,81,1020.6,72,7.87,-0.1,3
Yardimli,2020-01-11,5.0,-3.6,0.9,0.0,0.0,0.0,8.2,20.5,74,1023.6,71,7.13,1.2,3
Yardimli,2020-01-12,6.5,-3.3,1.1,0.0,0.0,0.0,8.1,19.4,67,1019.2,52,9.51,3.3,3
Yardimli,2020-01-13,2.2,0.4,1.4,9.9,1.9,5.6,8.5,18.0,85,1022.4,100,2.13,-0.9,73
Yardimli,2020-01-14,6.5,-4.0,1.2,0.0,0.0,0.0,14.4,32.8,67,1028.1,7,10.4,3.1,3
