city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Yerevan,2020-01-01,5.4,-2.6,1.0,0.0,0.0,0.0,6.3,14.8,77,1016.3,30,6.67,2.9,2
Yerevan,2020-01-02,5.7,-1.7,1.0,0.0,0.0,0.0,7.0,15.1,75,1020.6,55,7.36,2.7,3
Yerevan,2020-01-03,3.1,-1.3,0.0,3.0,0.0,2.1,8.1,15.8,78,1024.4,81,3.96,-0.0,73
Yerevan,2020-01-04,3.5,-2.6,-0.1,0.1,0.0,0.07,7.9,18.7,89,1019.3,82,6.75,0.5,71
Yerevan,2020-01-05,5.4,-3.4,-0.2,0.0,0.0,0.0,7.3,15.8,75,1016.5,39,8.06,2.1,3
Yerevan,2020-01-06,4.6,-4.0,-0.9,0.0,0.0,0.0,7.1,16.6,68,1024.2,20,8.59,1.2,2
Yerevan,2020-01-07,4.1,-4.3,-0.7,0.0,0.0,0.0,9.4,18.4,70,1026.0,36,8.08,1.1,3
Yerevan,2020-01-08,4.6,-3.9,-0.8,0.0,0.0,0.0,9.7,20.2,67,1020.6,74,7.85,1.2,3
Yerevan,2020-01-09,5.2,-5.2,-1.3,0.0,0.0,0.0,10.0,19.8,60,1018.0,63,8.87,1.7,3
Yerevan,2020-01-10,4.7,-4.1,-0.6,0.0,0.0,0.0,10.1,22.0,63,1020.0,28,9.3,1.2,3
Yerevan,2020-01-11,4.4,-3.6,-0.7,0.0,0.0,0.0,12.5,22.7,59,1023.1,7,9.71,0.6,1
Yerevan,2020-01-12,3.3,-4.3,-0.9,0.7,0.0,0.49,8.1,17.6,56,1022.3,77,6.52,-0.3,73
Yerevan,2020-01-13,4.7,-3.0,-0.4,2.0,0.0,1.4,12.6,25.6,70,1022.5,60,7.13,0.3,73
Yerevan,2020-01-14,4.4,-5.8,-1.9,0.0,0.0,0.0,11.1,22.7,49,1031.3,12,10.12,0.5,3
Yerevan,2020-01-15,3.6,-5.3,-1.8,0.0,0.0,0.0,8.1,16.6,41,1030.9,58,9.69,-0.5,3
Yerevan,2020-01-16,3.1,-5.2,-1.9,0.0,0.0,0.0,5.2,15.8,53,1033.6,45,8.05,-0.9,3
Yerevan,2020-01-17,2.6,-5.1,-1.6,0.0,0.0,0.0,6.4,14.8,67,1029.0,47,7.92,-0.6,3
Yerevan,2020-01-18,3.2,-7.3,-3.3,0.0,0.0,0.0,10.2,21.2,48,1023.8,46,10.31,-1.1,3
Yerevan,2020-01-19,2.4,-3.5,-1.3,0.0,0.0,0.0,7.2,16.9,50,1024.1,85,7.02,-1.6,3
Yerevan,2020-01-20,3.5,-3.4,-0.9,0.0,0.0,0.0,8.0,17.3,69,1028.3,35,8.67,0.6,2
Yerevan,2020-01-21,3.8,-5.6,-2.1,0.0,0.0,0.0,11.4,21.2,65,1026.4,6,10.61,0.1,0
Yerevan,2020-01-22,3.5,-5.2,-1.6,0.0,0.0,0.0,10.9,23.4,60,1024.7,21,10.9,-0.5,3
Yerevan,2020-01-23,3.6,-5.8,-1.6,0.7,0.0,0.49,9.1,19.1,58,1017.0,36,10.02,-0.0,71
Yerevan,2020-01-24,2.1,-3.6,-1.1,1.0,0.0,0.7,9.7,21.6,65,1021.0,80,5.35,-2.4,73
Yerevan,2020-01-25,1.6,-7.6,-3.8,0.0,0.0,0.0,10.7,20.5,41,1031.1,3,11.22,-2.7,1
Yerevan,2020-01-26,4.3,-7.6,-2.7,0.0,0.0,0.0,9.1,18.0,41,1028.6,18,11.35,0.2,3
Yerevan,2020-01-27,5.8,-6.2,-1.3,0.0,0.0,0.0,8.0,18.7,44,1028.7,0,11.4,1.7,0
Yerevan,2020-01-28,4.9,-5.6,-1.0,0.0,0.0,0.0,9.1,18.0,41,1026.3,51,10.92,0.8,3
Yerevan,2020-01-29,5.1,-4.8,-0.6,0.0,0.0,0.0,7.7,21.2,53,1021.0,54,9.86,1.3,3
Yerevan,2020-01-30,6.0,-3.3,0.5,0.0,0.0,0.0,8.4,18.4,57,1019.9,59,7.1,2.8,3
Yerevan,2020-01-31,8.8,-0.3,3.6,1.7,1.7,0.0,30.9,59.8,67,1009.8,96,7.12,3.9,51
Yerevan,2020-02-01,0.9,-1.3,-0.5,10.8,0.5,7.21,15.0,30.2,93,1011.1,96,3.26,-1.9,75
Yerevan,2020-02-02,4.4,-6.2,-0.7,0.0,0.0,0.0,8.5,22.7,62,1022.3,22,11.69,0.6,2
Yerevan,2020-02-03,4.7,-4.3,-0.6,0.0,0.0,0.0,9.5,19.1,58,1023.3,15,12.12,1.4,2
Yerevan,2020-02-04,3.6,-2.2,0.5,1.1,0.5,0.42,10.5,21.2,69,1015.1,86,3.6,-0.0,73
Yerevan,2020-02-05,6.3,-0.3,2.5,0.0,0.0,0.0,10.3,19.8,75,1017.4,89,5.35,3.4,3
Yerevan,2020-02-06,12.2,1.0,5.7,0.0,0.0,0.0,15.3,33.1,65,1017.6,56,11.28,8.5,3
Yerevan,2020-02-07,12.7,4.4,8.4,2.5,2.5,0.0,30.6,57.6,55,1007.4,79,7.33,8.6,53
Yerevan,2020-02-08,7.4,-3.0,2.9,6.3,3.0,2.31,16.9,46.4,79,1003.5,78,8.56,5.3,73
