city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Yevlakh,2020-01-01,11.8,0.2,5.5,0.0,0.0,0.0,12.2,26.6,83,1014.1,38,8.02,8.6,3,40.62,47.15
Yevlakh,2020-01-02,11.0,3.3,6.6,0.5,0.5,0.0,13.0,23.4,77,1019.0,53,6.3,8.7,51,40.62,47.15
Yevlakh,2020-01-03,7.6,3.7,5.7,1.6,1.6,0.0,11.3,24.8,88,1026.1,84,2.69,4.6,51,40.62,47.15
Yevlakh,2020-01-04,7.3,3.8,5.5,0.2,0.2,0.0,12.2,23.4,85,1021.2,99,1.7,4.4,51,40.62,47.15
Yevlakh,2020-01-05,10.4,1.5,4.9,0.0,0.0,0.0,11.8,27.4,78,1015.0,35,8.61,6.9,3,40.62,47.15
Yevlakh,2020-01-06,10.2,-2.2,2.5,0.0,0.0,0.0,8.6,14.4,84,1022.0,11,8.69,7.8,3,40.62,47.15
Yevlakh,2020-01-07,9.4,-1.5,2.7,0.0,0.0,0.0,11.2,19.1,81,1022.3,29,8.55,6.2,3,40.62,47.15
Yevlakh,2020-01-08,7.1,-2.0,1.6,0.0,0.0,0.0,6.7,10.8,79,1017.5,73,7.02,4.4,3,40.62,47.15
Yevlakh,2020-01-09,8.7,-2.4,2.8,0.0,0.0,0.0,12.2,23.0,80,1017.3,79,6.16,6.0,3,40.62,47.15
Yevlakh,2020-01-10,9.4,-1.9,2.7,0.0,0.0,0.0,11.1,20.5,85,1020.2,22,8.73,6.6,3,40.62,47.15
Yevlakh,2020-01-11,8.8,-1.5,2.6,0.0,0.0,0.0,12.4,22.3,88,1023.4,60,7.28,6.5,3,40.62,47.15
Yevlakh,2020-01-12,10.4,-2.2,3.7,0.0,0.0,0.0,15.2,28.1,73,1019.3,59,7.52,6.2,3,40.62,47.15
Yevlakh,2020-01-13,10.7,1.1,4.8,0.0,0.0,0.0,10.8,22.3,72,1021.4,68,6.63,7.3,3,40.62,47.15
Yevlakh,2020-01-14,10.4,-1.0,3.8,0.0,0.0,0.0,13.2,24.1,70,1028.1,4,9.42,6.7,1,40.62,47.15
Yevlakh,2020-01-15,7.6,-2.5,1.9,0.1,0.1,0.0,10.8,21.6,84,1029.0,89,7.09,4.2,51,40.62,47.15
Yevlakh,2020-01-16,6.2,2.8,4.1,6.4,6.4,0.0,10.5,23.4,91,1035.7,99,2.79,3.4,53,40.62,47.15
Yevlakh,2020-01-17,6.2,2.0,3.5,3.4,3.4,0.0,17.1,33.1,87,1028.7,60,3.66,2.5,53,40.62,47.15
Yevlakh,2020-01-18,8.7,-2.1,2.5,0.0,0.0,0.0,16.6,30.2,74,1022.2,48,9.37,5.9,3,40.62,47.15
Yevlakh,2020-01-19,4.2,-0.6,2.4,1.8,1.8,0.0,9.3,20.5,88,1026.6,92,2.48,1.6,51,40.62,47.15
Yevlakh,2020-01-20,6.0,1.0,3.4,0.6,0.6,0.0,5.6,13.3,86,1029.7,90,4.43,3.4,51,40.62,47.15
Yevlakh,2020-01-21,7.3,-1.0,2.1,0.0,0.0,0.0,8.0,13.7,85,1026.8,42,7.75,4.8,3,40.62,47.15
Yevlakh,2020-01-22,10.7,-2.2,4.1,0.0,0.0,0.0,26.4,52.6,69,1022.3,25,10.21,4.8,3,40.62,47.15
Yevlakh,2020-01-23,11.7,2.5,6.5,0.0,0.0,0.0,24.1,47.5,54,1011.2,13,10.2,5.8,3,40.62,47.15
Yevlakh,2020-01-24,8.6,3.2,6.1,0.0,0.0,0.0,27.9,53.6,41,1018.7,73,4.9,1.7,3,40.62,47.15
Yevlakh,2020-01-25,6.6,-4.1,1.3,0.0,0.0,0.0,17.2,36.7,64,1028.4,9,10.48,1.4,3,40.62,47.15
Yevlakh,2020-01-26,13.8,-2.4,4.6,0.0,0.0,0.0,19.4,39.6,51,1021.0,0,10.79,7.9,0,40.62,47.15
Yevlakh,2020-01-27,9.7,-3.3,2.0,0.0,0.0,0.0,9.5,16.2,72,1027.4,1,10.64,6.9,0,40.62,47.15
Yevlakh,2020-01-28,10.4,-2.8,2.5,0.0,0.0,0.0,9.2,22.3,76,1021.9,37,10.59,6.9,3,40.62,47.15
Yevlakh,2020-01-29,12.6,-2.2,3.7,0.0,0.0,0.0,13.0,20.9,67,1015.3,51,10.54,9.1,3,40.62,47.15
Yevlakh,2020-01-30,16.8,0.9,7.6,0.0,0.0,0.0,18.4,38.2,59,1013.5,26,10.94,12.8,3,40.62,47.15
Yevlakh,2020-01-31,16.4,3.0,8.6,0.0,0.0,0.0,29.0,54.4,61,1007.5,90,9.76,13.3,3,40.62,47.15
Yevlakh,2020-02-01,7.9,4.8,6.2,3.2,3.2,0.0,29.0,56.2,74,1010.9,99,2.19,4.9,53,40.62,47.15
Yevlakh,2020-02-02,10.4,-0.2,5.2,0.1,0.1,0.0,12.8,29.9,73,1018.9,23,11.38,6.8,51,40.62,47.15
Yevlakh,2020-02-03,14.4,-0.3,6.7,0.0,0.0,0.0,16.1,33.1,66,1015.7,15,11.43,9.8,3,40.62,47.15
Yevlakh,2020-02-04,17.5,6.1,11.2,0.0,0.0,0.0,28.0,56.2,43,1005.6,40,11.03,11.3,3,40.62,47.15
Yevlakh,2020-02-05,13.4,2.7,7.9,0.5,0.5,0.0,20.6,39.6,56,1015.0,30,11.49,10.8,53,40.62,47.15
Yevlakh,2020-02-06,20.1,5.8,12.1,0.0,0.0,0.0,16.9,36.4,46,1011.1,9,11.58,15.9,1,40.62,47.15
Yevlakh,2020-02-07,19.9,5.4,11.8,0.0,0.0,0.0,31.3,60.1,52,1004.4,34,7.35,17.0,3,40.62,47.15
Yevlakh,2020-02-08,11.2,3.1,7.3,7.6,6.1,1.05,31.4,60.1,67,1004.1,86,6.6,8.1,73,40.62,47.15
Yevlakh,2020-02-09,4.7,-0.8,2.0,3.6,0.0,2.59,29.8,61.2,47,1016.6,95,5.53,-1.6,73,40.62,47.15
Yevlakh,2020-02-10,4.6,-4.1,-0.7,0.0,0.0,0.0,7.2,18.7,69,1027.5,70,10.61,0.8,3,40.62,47.15
Yevlakh,2020-02-11,5.2,-6.1,-1.4,0.0,0.0,0.0,8.0,19.8,67,1022.6,9,13.09,1.1,1,40.62,47.15
Yevlakh,2020-02-12,8.5,-4.9,1.9,0.0,0.0,0.0,20.3,36.7,48,1014.1,22,13.16,3.2,3,40.62,47.15
