city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Zagatala,2020-01-01,8.3,1.8,5.5,0.0,0.0,0.0,6.9,19.8,62,1014.5,10,7.65,5.8,1,41.63,46.64
Zagatala,2020-01-02,8.9,0.5,5.0,0.2,0.2,0.0,5.4,14.0,51,1018.9,37,7.61,6.4,51,41.63,46.64
Zagatala,2020-01-03,5.8,0.0,3.2,1.1,1.1,0.0,8.4,20.9,78,1026.0,81,5.14,2.2,51,41.63,46.64
Zagatala,2020-01-04,5.1,0.9,2.9,0.1,0.1,0.0,6.3,17.6,87,1021.7,77,4.81,2.5,51,41.63,46.64
Zagatala,2020-01-05,6.2,1.6,4.0,0.0,0.0,0.0,4.7,15.5,59,1015.4,24,8.41,3.3,2,41.63,46.64
Zagatala,2020-01-06,6.2,3.3,4.7,0.0,0.0,0.0,4.7,15.8,45,1022.0,1,8.65,3.3,0,41.63,46.64
Zagatala,2020-01-07,8.0,1.1,4.9,0.0,0.0,0.0,6.8,19.1,48,1022.1,20,8.13,4.4,3,41.63,46.64
Zagatala,2020-01-08,8.7,0.8,6.0,0.0,0.0,0.0,6.4,14.8,36,1016.6,36,7.84,5.2,3,41.63,46.64
Zagatala,2020-01-09,6.4,0.2,4.0,0.0,0.0,0.0,8.7,18.0,46,1017.4,44,8.5,3.0,3,41.63,46.64
Zagatala,2020-01-10,5.0,0.1,3.0,0.2,0.2,0.0,5.9,16.9,62,1020.3,64,7.41,2.0,51,41.63,46.64
Zagatala,2020-01-11,3.6,-0.8,1.8,0.9,0.8,0.07,7.3,18.4,82,1023.5,66,4.75,1.2,71,41.63,46.64
Zagatala,2020-01-12,5.2,-2.1,2.0,0.0,0.0,0.0,6.6,21.6,62,1019.6,85,5.7,2.1,3,41.63,46.64
Zagatala,2020-01-13,6.1,0.1,3.4,0.0,0.0,0.0,7.0,18.4,61,1021.5,48,7.68,3.0,3,41.63,46.64
Zagatala,2020-01-14,5.9,1.9,3.7,0.0,0.0,0.0,5.4,16.2,53,1028.0,10,9.11,2.9,3,41.63,46.64
Zagatala,2020-01-15,5.3,-1.3,2.8,0.1,0.1,0.0,7.9,16.9,59,1028.6,91,6.07,1.8,51,41.63,46.64
Zagatala,2020-01-16,2.5,-0.7,1.1,7.6,1.9,3.99,5.9,14.0,93,1036.1,100,3.22,0.2,73,41.63,46.64
Zagatala,2020-01-17,1.5,-6.0,-0.5,8.5,0.8,5.39,9.0,20.2,92,1029.4,72,3.46,-1.2,75,41.63,46.64
Zagatala,2020-01-18,5.4,-6.3,0.8,0.0,0.0,0.0,7.2,19.1,44,1022.0,12,9.96,1.9,1,41.63,46.64
Zagatala,2020-01-19,3.0,-0.4,1.2,0.0,0.0,0.0,4.9,16.6,69,1026.8,74,7.02,-0.2,3,41.63,46.64
