city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Zangilan,2020-01-01,11.0,4.6,6.2,0.8,0.8,0.0,7.0,19.1,65,1014.1,31,9.18,8.5,51,39.08,46.65
Zangilan,2020-01-02,8.5,3.2,5.7,0.0,0.0,0.0,9.4,23.4,61,1019.1,37,8.95,4.9,3,39.08,46.65
Zangilan,2020-01-03,4.4,1.2,2.8,5.2,5.2,0.0,8.3,19.4,94,1026.1,100,1.68,2.1,53,39.08,46.65
Zangilan,2020-01-04,3.5,0.3,1.6,1.4,1.4,0.0,5.8,15.5,93,1021.6,100,2.93,1.0,51,39.08,46.65
Zangilan,2020-01-05,8.1,1.2,3.9,1.8,1.8,0.0,6.9,20.5,80,1015.1,65,8.77,5.7,51,39.08,46.65
Zangilan,2020-01-06,9.1,2.8,4.6,0.0,0.0,0.0,7.9,14.4,64,1021.5,7,9.73,6.1,1,39.08,46.65
Zangilan,2020-01-07,10.3,-1.9,2.9,0.0,0.0,0.0,8.1,19.1,60,1021.5,16,9.68,7.5,3,39.08,46.65
Zangilan,2020-01-08,10.4,-1.1,3.3,0.0,0.0,0.0,8.2,23.8,52,1016.7,64,8.51,7.3,3,39.08,46.65
Zangilan,2020-01-09,4.6,0.3,3.1,0.1,0.1,0.0,6.3,16.2,70,1017.4,95,4.92,1.9,51,39.08,46.65
Zangilan,2020-01-10,5.6,1.3,3.6,0.2,0.2,0.0,6.5,17.6,76,1020.3,56,7.62,2.5,51,39.08,46.65
Zangilan,2020-01-11,6.6,-0.3,3.0,0.1,0.1,0.0,12.6,27.7,82,1023.2,50,7.58,3.8,51,39.08,46.65
Zangilan,2020-01-12,9.9,-1.8,2.9,0.0,0.0,0.0,8.3,18.4,68,1019.1,64,8.81,6.8,3,39.08,46.65
Zangilan,2020-01-13,3.8,0.6,2.4,6.9,2.7,2.94,7.1,16.9,83,1022.4,95,3.19,1.0,75,39.08,46.65
Zangilan,2020-01-14,9.3,-2.1,2.8,0.0,0.0,0.0,9.7,24.8,59,1027.9,6,10.39,5.7,1,39.08,46.65
Zangilan,2020-01-15,7.1,-2.2,2.1,0.0,0.0,0.0,11.2,29.9,52,1028.6,75,9.5,2.9,3,39.08,46.65
Zangilan,2020-01-16,1.5,-0.8,0.2,5.5,0.0,3.92,8.9,20.2,93,1036.2,99,2.09,-1.9,73,39.08,46.65
Zangilan,2020-01-17,4.6,-0.9,0.9,1.2,0.3,0.7,6.5,17.3,85,1028.8,87,7.44,1.5,71,39.08,46.65
Zangilan,2020-01-18,6.3,-0.8,1.9,0.8,0.6,0.14,7.0,15.8,82,1022.1,92,7.37,3.6,71,39.08,46.65
Zangilan,2020-01-19,0.8,-0.5,-0.0,9.4,0.1,6.51,7.0,17.6,95,1026.6,100,2.38,-1.5,73,39.08,46.65
Zangilan,2020-01-20,2.1,-0.9,0.1,1.4,0.1,0.98,6.1,16.2,93,1029.7,96,4.15,-0.9,71,39.08,46.65
Zangilan,2020-01-21,3.9,-1.0,0.8,0.0,0.0,0.0,6.9,14.0,83,1027.3,55,6.03,1.1,3,39.08,46.65
Zangilan,2020-01-22,7.4,-2.0,2.8,0.0,0.0,0.0,7.2,19.8,63,1022.8,10,11.09,3.9,2,39.08,46.65
Zangilan,2020-01-23,9.9,-2.8,2.6,0.0,0.0,0.0,22.2,53.3,46,1011.6,10,11.43,3.8,2,39.08,46.65
Zangilan,2020-01-24,4.0,-1.8,1.1,1.1,0.4,0.49,10.9,27.4,65,1019.7,85,4.62,0.0,73,39.08,46.65
Zangilan,2020-01-25,5.6,-2.8,1.0,0.0,0.0,0.0,8.5,20.9,56,1028.3,20,11.53,1.9,2,39.08,46.65
Zangilan,2020-01-26,11.1,-2.5,3.6,0.0,0.0,0.0,21.1,50.0,31,1021.4,16,11.71,4.9,3,39.08,46.65
Zangilan,2020-01-27,8.8,0.5,4.6,0.0,0.0,0.0,7.6,21.6,30,1027.1,9,11.72,4.2,3,39.08,46.65
Zangilan,2020-01-28,12.7,-3.2,3.8,0.0,0.0,0.0,9.8,27.0,36,1021.1,29,10.98,8.6,3,39.08,46.65
Zangilan,2020-01-29,12.8,-1.2,4.9,0.0,0.0,0.0,20.0,50.4,39,1015.1,60,8.28,7.0,3,39.08,46.65
Zangilan,2020-01-30,13.1,2.6,7.0,0.0,0.0,0.0,20.3,47.9,44,1014.7,24,12.05,7.5,2,39.08,46.65
Zangilan,2020-01-31,14.7,5.8,9.3,0.0,0.0,0.0,21.3,52.2,47,1007.7,64,11.69,10.0,3,39.08,46.65
Zangilan,2020-02-01,7.4,0.7,2.3,10.1,5.3,3.36,11.7,26.3,89,1011.4,99,4.57,4.3,73,39.08,46.65
Zangilan,2020-02-02,9.4,0.1,3.7,0.4,0.2,0.14,15.5,38.2,67,1019.1,34,12.04,4.3,71,39.08,46.65
Zangilan,2020-02-03,12.3,0.1,5.6,0.0,0.0,0.0,22.8,58.3,43,1016.5,8,12.64,7.0,1,39.08,46.65
Zangilan,2020-02-04,12.7,5.1,8.0,0.0,0.0,0.0,29.0,69.5,41,1007.8,63,10.36,6.8,3,39.08,46.65
Zangilan,2020-02-05,14.9,1.1,7.1,0.0,0.0,0.0,13.5,38.5,61,1014.6,58,11.25,11.9,3,39.08,46.65
Zangilan,2020-02-06,17.0,9.8,12.6,0.0,0.0,0.0,25.8,63.0,40,1012.9,18,12.7,11.7,3,39.08,46.65
Zangilan,2020-02-07,18.2,7.5,13.1,0.0,0.0,0.0,24.7,60.8,43,1005.1,11,12.12,13.9,2,39.08,46.65
Zangilan,2020-02-08,13.8,1.5,8.3,8.0,6.9,0.77,20.9,65.5,71,1003.0,70,11.65,9.6,73,39.08,46.65
Zangilan,2020-02-09,0.6,-4.3,-2.1,12.6,0.1,8.82,10.6,24.8,82,1017.3,99,5.26,-2.3,75,39.08,46.65
Zangilan,2020-02-10,-2.3,-5.9,-4.0,4.9,0.1,3.36,10.4,27.4,71,1028.0,97,5.62,-7.1,73,39.08,46.65
Zangilan,2020-02-11,2.3,-7.3,-3.0,1.1,0.0,0.77,17.3,43.2,63,1023.0,52,13.99,-2.7,73,39.08,46.65
Zangilan,2020-02-12,6.9,-3.5,1.3,0.0,0.0,0.0,25.6,61.6,36,1015.5,31,13.98,0.3,3,39.08,46.65
Zangilan,2020-02-13,9.1,-0.1,3.6,0.9,0.9,0.0,14.0,41.0,59,1018.8,61,9.14,5.0,51,39.08,46.65
Zangilan,2020-02-14,7.4,-2.7,2.2,0.1,0.1,0.0,17.8,41.4,58,1026.1,22,13.21,2.9,51,39.08,46.65
Zangilan,2020-02-15,7.5,-4.4,0.6,0.0,0.0,0.0,8.9,22.7,42,1031.2,74,12.52,2.6,3,39.08,46.65
Zangilan,2020-02-16,5.6,-1.2,2.2,0.0,0.0,0.0,7.1,19.4,50,1029.1,94,6.86,1.8,3,39.08,46.65
Zangilan,2020-02-17,1.3,-0.4,0.4,14.0,0.5,9.52,9.0,22.7,94,1034.4,100,3.42,-1.6,75,39.08,46.65
Zangilan,2020-02-18,6.9,-1.1,2.0,0.3,0.3,0.0,8.4,18.7,82,1033.0,34,13.76,4.7,51,39.08,46.65
Zangilan,2020-02-19,10.2,-1.4,4.8,1.6,1.6,0.0,6.8,25.2,66,1022.2,62,11.31,7.8,61,39.08,46.65
Zangilan,2020-02-20,6.5,2.8,5.1,6.4,6.4,0.0,7.7,14.4,81,1015.6,90,3.28,4.5,55,39.08,46.65
Zangilan,2020-02-21,15.2,4.4,8.0,0.0,0.0,0.0,8.0,24.1,75,1016.4,46,14.76,13.4,3,39.08,46.65
Zangilan,2020-02-22,10.2,4.8,6.7,0.5,0.5,0.0,5.9,18.4,88,1021.0,99,9.51,8.4,51,39.08,46.65
Zangilan,2020-02-23,16.9,3.2,9.1,0.2,0.2,0.0,8.6,23.4,80,1019.7,51,15.11,15.2,51,39.08,46.65
Zangilan,2020-02-24,17.1,3.2,9.4,0.0,0.0,0.0,8.4,27.0,66,1014.8,37,15.35,15.7,3,39.08,46.65
Zangilan,2020-02-25,18.7,5.5,10.4,0.0,0.0,0.0,20.8,56.2,49,1007.7,57,15.08,16.2,3,39.08,46.65
Zangilan,2020-02-26,7.3,3.4,4.9,0.0,0.0,0.0,11.0,25.6,61,1022.5,67,8.49,4.6,3,39.08,46.65
Zangilan,2020-02-27,16.8,-0.8,7.9,0.0,0.0,0.0,10.0,24.1,50,1019.3,8,16.74,13.9,3,39.08,46.65
Zangilan,2020-02-28,19.2,4.2,11.2,0.0,0.0,0.0,20.8,51.5,40,1010.5,75,15.78,14.8,3,39.08,46.65
Zangilan,2020-02-29,15.2,5.3,9.5,0.0,0.0,0.0,14.3,41.0,59,1012.4,51,15.31,12.8,3,39.08,46.65
Zangilan,2020-03-01,11.9,3.0,7.3,4.3,4.3,0.0,16.1,37.1,73,1013.0,39,14.67,8.4,61,39.08,46.65
Zangilan,2020-03-02,6.5,2.5,4.4,12.8,12.5,0.21,18.9,43.6,86,1022.4,97,4.67,4.3,71,39.08,46.65
Zangilan,2020-03-03,14.8,4.7,8.8,0.0,0.0,0.0,8.2,18.4,66,1022.6,30,16.91,13.1,3,39.08,46.65
Zangilan,2020-03-04,17.8,4.5,11.0,0.0,0.0,0.0,8.2,18.7,56,1022.4,1,17.25,16.3,1,39.08,46.65
Zangilan,2020-03-05,18.9,4.1,11.2,0.0,0.0,0.0,10.2,24.5,60,1018.1,30,17.56,18.2,3,39.08,46.65
Zangilan,2020-03-06,16.1,6.4,10.8,0.0,0.0,0.0,10.3,23.8,65,1017.7,73,15.83,14.9,3,39.08,46.65
Zangilan,2020-03-07,11.0,7.2,8.6,1.6,1.6,0.0,7.4,18.7,88,1023.7,100,6.8,9.2,51,39.08,46.65
Zangilan,2020-03-08,15.6,6.1,9.9,0.0,0.0,0.0,10.0,23.4,72,1025.7,39,16.95,14.1,3,39.08,46.65
Zangilan,2020-03-09,16.8,5.7,10.2,0.0,0.0,0.0,8.5,21.2,68,1025.7,1,18.6,15.6,0,39.08,46.65
Zangilan,2020-03-10,14.9,7.1,10.1,0.0,0.0,0.0,10.7,25.9,68,1020.7,23,18.25,13.5,3,39.08,46.65
Zangilan,2020-03-11,23.0,6.8,13.2,0.0,0.0,0.0,12.6,27.0,52,1016.9,35,18.43,21.1,3,39.08,46.65
Zangilan,2020-03-12,23.1,7.9,14.8,0.0,0.0,0.0,11.9,29.9,53,1016.3,28,18.63,21.0,3,39.08,46.65
Zangilan,2020-03-13,17.9,8.9,13.5,0.3,0.3,0.0,10.6,25.6,62,1018.6,83,16.38,16.8,51,39.08,46.65
Zangilan,2020-03-14,16.9,9.1,12.9,0.6,0.6,0.0,12.9,33.1,71,1010.0,85,6.58,14.7,51,39.08,46.65
Zangilan,2020-03-15,16.4,6.7,11.4,0.4,0.4,0.0,8.7,23.4,80,1013.0,68,12.66,15.2,51,39.08,46.65
Zangilan,2020-03-16,10.5,5.8,8.6,6.0,6.0,0.0,13.8,32.8,94,1016.6,97,8.85,10.3,53,39.08,46.65
Zangilan,2020-03-17,5.4,1.8,3.3,5.9,5.9,0.0,10.9,25.6,94,1026.2,100,2.55,2.9,51,39.08,46.65
Zangilan,2020-03-18,2.2,0.9,1.4,10.6,5.5,3.57,10.6,24.1,98,1024.7,100,2.59,-1.0,73,39.08,46.65
Zangilan,2020-03-19,9.1,-0.9,3.6,0.4,0.1,0.21,10.3,24.8,87,1016.2,66,18.1,7.2,71,39.08,46.65
Zangilan,2020-03-20,12.6,3.5,7.2,0.2,0.2,0.0,12.3,30.2,84,1014.9,81,16.06,11.7,51,39.08,46.65
Zangilan,2020-03-21,7.0,5.1,6.1,16.8,16.8,0.0,11.1,26.3,95,1018.9,100,3.18,5.2,61,39.08,46.65
Zangilan,2020-03-22,7.7,3.5,5.3,5.2,5.2,0.0,7.3,20.9,89,1020.7,90,5.4,5.2,53,39.08,46.65
