city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Zardab,2020-01-01,12.2,0.3,5.4,0.0,0.0,0.0,10.1,23.4,85,1014.2,56,7.95,9.4,3,40.22,47.71
Zardab,2020-01-02,11.7,2.1,6.7,0.2,0.2,0.0,11.5,21.6,75,1019.2,42,7.25,8.9,51,40.22,47.71
Zardab,2020-01-03,6.7,4.9,5.8,2.9,2.9,0.0,9.5,20.2,89,1026.5,100,2.0,4.4,51,40.22,47.71
Zardab,2020-01-04,6.2,4.6,5.3,0.9,0.9,0.0,9.2,16.2,91,1021.3,100,1.44,4.1,51,40.22,47.71
Zardab,2020-01-05,10.7,1.6,5.6,0.7,0.7,0.0,10.8,22.7,75,1015.1,53,8.13,8.0,51,40.22,47.71
Zardab,2020-01-06,9.6,-0.2,3.2,0.0,0.0,0.0,8.6,13.3,88,1022.0,34,7.33,7.6,3,40.22,47.71
Zardab,2020-01-07,9.3,-0.9,2.9,0.0,0.0,0.0,9.4,19.4,88,1022.4,43,8.21,6.5,3,40.22,47.71
Zardab,2020-01-08,7.7,-4.0,1.6,0.0,0.0,0.0,7.7,15.1,83,1017.6,83,6.98,4.7,3,40.22,47.71
Zardab,2020-01-09,9.1,-0.3,3.4,0.0,0.0,0.0,10.1,16.9,80,1017.4,84,5.4,6.8,3,40.22,47.71
Zardab,2020-01-10,8.2,-1.2,2.7,0.0,0.0,0.0,10.1,16.9,86,1020.3,45,8.5,5.7,3,40.22,47.71
Zardab,2020-01-11,8.1,0.5,3.3,0.0,0.0,0.0,8.9,19.8,88,1023.5,45,8.03,5.1,3,40.22,47.71
Zardab,2020-01-12,9.4,-2.0,3.0,0.0,0.0,0.0,9.4,22.7,81,1019.4,82,7.74,6.1,3,40.22,47.71
Zardab,2020-01-13,8.4,1.0,4.9,0.0,0.0,0.0,10.4,17.3,78,1021.6,80,4.45,5.9,3,40.22,47.71
Zardab,2020-01-14,10.4,-0.9,4.1,0.0,0.0,0.0,12.2,22.0,70,1028.2,1,9.62,7.6,0,40.22,47.71
Zardab,2020-01-15,6.7,-0.9,2.7,0.0,0.0,0.0,9.4,19.1,89,1029.0,87,4.93,4.2,3,40.22,47.71
Zardab,2020-01-16,5.2,2.5,3.6,6.1,6.1,0.0,9.1,18.7,94,1036.0,99,2.08,2.4,53,40.22,47.71
Zardab,2020-01-17,6.3,1.8,3.7,1.6,1.6,0.0,12.6,23.0,87,1028.5,80,2.3,2.9,51,40.22,47.71
Zardab,2020-01-18,8.6,-1.2,2.4,0.0,0.0,0.0,12.2,21.6,72,1022.4,9,10.1,5.7,1,40.22,47.71
Zardab,2020-01-19,4.1,-0.7,2.5,1.8,1.8,0.0,8.7,17.3,89,1026.7,94,2.1,2.2,51,40.22,47.71
Zardab,2020-01-20,6.1,2.2,3.6,0.5,0.5,0.0,6.2,16.9,85,1029.8,94,6.04,3.5,51,40.22,47.71
Zardab,2020-01-21,7.8,-0.4,3.3,0.0,0.0,0.0,7.6,16.6,79,1027.0,40,9.03,4.8,3,40.22,47.71
Zardab,2020-01-22,10.8,-1.6,4.0,0.0,0.0,0.0,20.5,42.8,68,1022.5,13,10.36,5.5,2,40.22,47.71
Zardab,2020-01-23,11.6,3.0,6.8,0.0,0.0,0.0,22.1,41.4,48,1011.4,16,10.43,6.2,3,40.22,47.71
Zardab,2020-01-24,8.6,3.7,6.6,0.0,0.0,0.0,22.5,42.8,41,1018.9,96,3.06,2.6,3,40.22,47.71
Zardab,2020-01-25,7.7,-2.7,2.1,0.0,0.0,0.0,15.0,33.5,64,1028.5,19,10.64,2.4,3,40.22,47.71
Zardab,2020-01-26,12.8,-2.9,3.5,0.0,0.0,0.0,18.4,39.6,59,1021.4,0,10.94,7.7,0,40.22,47.71
Zardab,2020-01-27,10.8,-2.5,3.1,0.0,0.0,0.0,9.0,20.5,74,1027.4,0,10.74,8.1,0,40.22,47.71
Zardab,2020-01-28,10.9,-3.0,2.7,0.0,0.0,0.0,10.2,17.3,74,1022.1,35,10.73,7.6,3,40.22,47.71
Zardab,2020-01-29,11.4,-2.7,3.4,0.0,0.0,0.0,9.7,16.9,69,1015.5,50,9.85,7.9,3,40.22,47.71
Zardab,2020-01-30,16.6,-0.9,6.6,0.0,0.0,0.0,15.6,33.1,57,1013.8,22,11.17,13.1,3,40.22,47.71
Zardab,2020-01-31,15.5,0.8,7.2,0.0,0.0,0.0,15.9,29.9,65,1007.6,78,10.7,13.2,3,40.22,47.71
Zardab,2020-02-01,8.1,3.4,5.4,5.4,5.4,0.0,21.4,39.6,85,1011.3,94,2.22,4.0,53,40.22,47.71
Zardab,2020-02-02,11.4,2.5,6.1,0.3,0.3,0.0,12.5,29.2,72,1019.1,35,11.24,7.6,51,40.22,47.71
Zardab,2020-02-03,13.9,-1.4,5.8,0.0,0.0,0.0,13.6,24.5,63,1015.9,7,11.65,9.9,2,40.22,47.71
Zardab,2020-02-04,16.7,6.8,11.2,0.0,0.0,0.0,24.5,46.8,38,1005.7,54,10.93,11.8,3,40.22,47.71
Zardab,2020-02-05,13.7,3.6,8.0,2.5,2.5,0.0,21.7,46.1,65,1015.1,29,11.65,10.9,53,40.22,47.71
Zardab,2020-02-06,20.6,2.3,10.3,0.0,0.0,0.0,16.6,34.9,56,1011.2,6,11.8,16.6,2,40.22,47.71
