city,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Lankaran,2020-01-01,11.9,5.1,8.8,0.9,0.9,0.0,7.6,20.2,85,1014.3,35,7.88,10.3,53
Lankaran,2020-01-02,11.5,5.9,9.5,4.2,4.2,0.0,17.8,36.7,76,1019.5,46,7.62,9.7,61
Lankaran,2020-01-03,8.4,6.5,7.3,16.2,16.2,0.0,17.8,35.3,91,1026.1,100,1.47,5.5,61
Lankaran,2020-01-04,7.2,6.4,6.9,14.1,14.1,0.0,19.1,38.9,89,1019.9,100,1.53,4.1,61
Lankaran,2020-01-05,8.7,3.7,6.1,5.4,5.4,0.0,18.4,37.1,87,1015.1,72,3.42,7.1,61
Lankaran,2020-01-06,10.3,2.0,6.0,0.0,0.0,0.0,8.0,18.7,80,1022.0,19,8.75,8.4,3
Lankaran,2020-01-07,10.1,3.2,7.0,0.0,0.0,0.0,10.3,24.8,93,1022.1,72,7.5,8.6,3
Lankaran,2020-01-08,10.5,4.7,7.9,0.4,0.4,0.0,6.1,15.1,82,1017.1,76,7.24,9.3,51
Lankaran,2020-01-09,8.7,7.0,7.9,18.6,18.6,0.0,16.7,36.7,85,1016.8,99,2.33,7.1,61
Lankaran,2020-01-10,9.2,3.4,6.7,2.2,2.2,0.0,13.8,29.9,85,1020.4,67,7.53,6.3,53
Lankaran,2020-01-11,9.5,4.8,6.7,2.2,2.2,0.0,9.0,25.9,86,1023.5,68,8.6,7.1,53
Lankaran,2020-01-12,10.2,1.9,6.1,0.0,0.0,0.0,15.3,31.7,74,1019.2,49,9.46,7.3,3
Lankaran,2020-01-13,7.4,5.7,6.7,6.8,6.8,0.0,15.8,32.4,79,1021.8,98,1.79,4.7,53
Lankaran,2020-01-14,8.8,1.5,5.7,0.0,0.0,0.0,11.8,27.4,79,1028.4,10,10.17,6.0,1
Lankaran,2020-01-15,8.5,2.8,6.1,2.5,2.5,0.0,17.2,34.2,80,1028.3,84,6.55,6.0,53
Lankaran,2020-01-16,6.1,3.9,5.2,26.0,26.0,0.0,21.8,43.6,88,1035.3,100,1.25,2.7,63
Lankaran,2020-01-17,6.4,4.4,5.4,4.4,4.4,0.0,14.7,29.9,88,1027.6,100,2.46,3.4,53
Lankaran,2020-01-18,7.3,4.9,5.9,10.1,10.1,0.0,9.6,23.4,86,1022.7,97,4.29,4.7,61
Lankaran,2020-01-19,6.0,3.1,4.3,25.6,25.3,0.21,13.2,33.1,91,1026.6,100,1.76,3.9,73
Lankaran,2020-01-20,4.8,3.2,3.8,5.8,5.8,0.0,15.5,29.5,89,1029.8,100,2.87,2.1,53
Lankaran,2020-01-21,6.8,2.3,4.2,0.0,0.0,0.0,11.6,24.8,81,1027.2,66,5.86,4.4,3
Lankaran,2020-01-22,9.3,1.8,4.9,0.0,0.0,0.0,12.9,29.5,66,1023.1,3,10.39,5.9,0
Lankaran,2020-01-23,9.1,2.3,5.2,0.0,0.0,0.0,8.6,22.3,69,1011.9,4,10.91,6.9,1
Lankaran,2020-01-24,7.4,3.3,5.6,0.6,0.6,0.0,17.7,36.0,73,1019.6,95,3.55,3.7,51
Lankaran,2020-01-25,6.7,0.6,3.6,0.0,0.0,0.0,11.3,25.9,75,1029.1,27,11.17,3.2,3
Lankaran,2020-01-26,10.4,0.5,5.4,0.0,0.0,0.0,8.4,18.4,65,1022.1,1,11.44,7.2,1
Lankaran,2020-01-27,11.0,1.6,6.0,0.0,0.0,0.0,15.0,33.8,67,1027.3,10,10.85,7.7,2
Lankaran,2020-01-28,8.6,1.9,6.6,0.0,0.0,0.0,9.4,19.1,70,1022.1,10,11.44,6.6,2
Lankaran,2020-01-29,9.3,6.4,7.5,0.0,0.0,0.0,6.8,18.0,67,1015.5,64,8.24,7.2,3
Lankaran,2020-01-30,15.3,2.4,8.6,0.0,0.0,0.0,13.0,26.3,64,1014.1,20,11.86,14.8,3
Lankaran,2020-01-31,17.1,3.7,9.3,0.0,0.0,0.0,16.9,34.2,60,1007.3,56,11.37,15.7,3
Lankaran,2020-02-01,8.8,5.4,6.2,13.3,13.3,0.0,18.9,37.4,86,1012.0,93,1.98,4.8,61
Lankaran,2020-02-02,9.6,3.6,6.1,0.2,0.2,0.0,10.5,21.2,77,1019.7,52,10.43,7.4,51
Lankaran,2020-02-03,12.8,0.6,6.4,0.0,0.0,0.0,17.0,34.2,60,1016.2,0,12.38,9.3,0
Lankaran,2020-02-04,16.8,2.7,10.6,0.2,0.2,0.0,14.0,33.8,54,1005.8,61,11.9,14.0,51
Lankaran,2020-02-05,10.1,5.5,8.0,0.9,0.9,0.0,20.9,44.6,90,1015.8,62,11.01,6.9,53
Lankaran,2020-02-06,17.9,5.3,12.0,0.0,0.0,0.0,13.0,24.5,71,1011.3,4,12.76,17.3,1
Lankaran,2020-02-07,21.4,6.6,16.0,0.0,0.0,0.0,25.4,51.5,48,1004.5,6,12.48,22.5,1
Lankaran,2020-02-08,18.7,6.9,10.2,3.8,3.8,0.0,24.7,49.3,82,1003.7,78,7.81,14.5,53
Lankaran,2020-02-09,6.3,1.5,3.0,20.2,15.3,3.43,23.7,49.0,79,1017.7,94,5.15,2.7,75
Lankaran,2020-02-10,1.3,-1.3,0.5,18.9,0.0,13.3,24.3,48.6,75,1028.1,99,3.1,-2.5,75
Lankaran,2020-02-11,2.8,-2.1,0.1,1.0,0.0,0.7,25.5,50.0,68,1022.5,59,13.99,-0.0,73
Lankaran,2020-02-12,5.8,-5.6,1.8,0.0,0.0,0.0,12.7,27.4,58,1014.2,6,14.66,3.7,2
Lankaran,2020-02-13,8.5,-2.5,4.2,0.5,0.5,0.0,9.0,16.2,68,1018.9,55,10.77,6.0,51
Lankaran,2020-02-14,8.7,3.1,6.1,0.7,0.7,0.0,18.3,38.5,68,1026.2,68,7.1,4.6,51
Lankaran,2020-02-15,8.9,2.7,5.8,0.0,0.0,0.0,23.2,49.7,60,1031.3,60,13.35,3.7,3
Lankaran,2020-02-16,8.8,3.3,6.2,0.7,0.7,0.0,12.6,28.1,73,1028.8,96,8.59,5.4,53
Lankaran,2020-02-17,6.0,5.0,5.6,26.4,26.4,0.0,19.4,40.3,88,1033.3,98,2.29,3.2,61
Lankaran,2020-02-18,8.7,2.5,5.5,0.0,0.0,0.0,13.8,32.8,77,1033.0,42,13.18,5.8,3
Lankaran,2020-02-19,9.0,3.4,6.3,0.2,0.2,0.0,8.7,22.0,93,1022.8,95,8.07,7.9,51
Lankaran,2020-02-20,9.5,7.1,8.1,7.7,7.7,0.0,11.0,24.1,94,1015.4,100,3.24,7.6,55
Lankaran,2020-02-21,10.9,5.9,8.3,0.3,0.3,0.0,15.0,33.1,89,1017.7,53,13.41,9.1,51
Lankaran,2020-02-22,11.3,7.6,9.4,1.6,1.6,0.0,13.8,29.2,96,1021.0,100,5.57,9.8,51
Lankaran,2020-02-23,12.1,7.7,9.5,0.6,0.6,0.0,11.7,23.4,94,1020.6,92,10.96,11.2,51
Lankaran,2020-02-24,11.5,7.1,9.2,0.0,0.0,0.0,9.0,21.6,94,1016.1,90,10.51,10.3,3
Lankaran,2020-02-25,17.7,7.4,11.0,2.0,2.0,0.0,20.6,48.6,75,1008.7,95,12.65,17.3,61
Lankaran,2020-02-26,10.5,5.8,7.7,0.0,0.0,0.0,14.9,34.2,74,1023.0,60,12.66,7.6,3
Lankaran,2020-02-27,10.7,6.1,8.1,0.0,0.0,0.0,19.0,43.2,86,1020.6,16,16.15,7.7,3
Lankaran,2020-02-28,13.0,6.6,10.4,0.0,0.0,0.0,8.7,22.7,77,1011.0,94,12.21,10.9,3
Lankaran,2020-02-29,13.9,6.0,10.9,0.0,0.0,0.0,18.6,39.6,68,1014.5,58,14.73,11.1,3
Lankaran,2020-03-01,13.0,6.1,8.3,7.9,7.9,0.0,20.6,46.1,88,1014.6,79,11.32,9.6,63
